"COMPLETE","ID","QSCORE","DOB","AGE","RESIDENT","ZIPCODE","RACE","ETHNICITY","GENDER","INCOME","EDUCATION","DEGREE","TWS","COURSE","COURSETIME","SELFTITLE","BIOTIME","ACTIVITY","AFFILIATE","CONTACT","FIELD","COLLECT","HANDLE","STATE","PPE","PPETIME","COUNTIES","LICENSE","PIGS","BRUCE","CWD","FLUAL","FLU","COVID","COVIDSPILL","RABIESAL","RABIES","TURKEY","CWDAL","BATS","PPEREQ","EHD","DARWIN","POPRED","POPPLAN","SURVEY","VACCINE","PREVAL","DIVERSE","CONSEQ","CLIMATE","EDREQ","INFO","HANDSON","ACCESS","SOURCE","INTEREST","FREEINFO","TOPICS","QSNCS","GENDERb","FREEINFOcount","TOPICScount","SOURCEcount","PIGSp","BRUCEp","CWDp","FLUALp","FLUp","COVIDp","COVIDSPILLp","RABIESALp","RABIESp","TURKEYp","COUNTIEScount"
100,"R_25LsR9yYzzdhavL",1,2000,"0","Yes",36830,"White","No","Female",0,"0","1","1","1","1","1","0","Land/Wildlife Management","Academic/Research Institution","1","0","0","1","1","1",NA,0,"0","1","0","1","0","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","1","0","0","0","1","1","0","0",0,"0",0,0,"",0,2,1,1,"1","0","1","0","0","1","1","0","1","1",1
100,"R_2mxBbIVl41Evegu",1,1999,"0","Yes",36832,"White","No","Male",0,"1","1","0","0","","1","0","Research","Academic/Research Institution","1","0","1","1","1","0","0",0,"1","1","1","1","0","1","1","0","0","1","1","0","0","1","0","1","0","1","1","0","1","1","1","1","1","0","0","0",0,"1",0,0,"",1,2,4,2,"1","1","1","0","1","1","1","1","1","1",1
100,"R_1agj9jjmp2l6TRr",0.899999976,1973,"1","Yes",36879,"White","No","Male",1,"1","1","0","0","","1","1","Research","Academic/Research Institution","0","0","0","0",NA,"1",NA,0,"0","1","1","0","0","1","1","0","0","1","0","0","0","1","1","1","1","1","1","0","1","1","0","1","0","1","1","1",0,"1",0,1,"",1,2,6,1,"1","1","0","0","1","1","1","1","1","0",2
100,"R_2wiz7QrGcVirdmI",0.699999988,1972,"1","Yes",36804,"Asian","No","Male",1,"1","1","0","1","0","1","1","Research","Academic/Research Institution","0","0","1","1","1","0","0",0,"0","1","1","1","0","1","1","0","0","1","0","0","1","1","0","1","1","0","1","0","0","0","1","1","1","0","0","1",0,"1",0,1,"",1,2,8,2,"1","1","1","0","1","1","1","1","1","1",1
100,"R_3OepAOjEO0mxspj",0.699999988,1981,"1","Yes",36832,"White","No","Female",1,"1","0","0","0","","1","1","Research","Academic/Research Institution","0","0","0","0",NA,NA,NA,0,"0","0","1","1","1","1","1","0","1","1","0","1","1","1","0","1","1","1","1","0","0","0","0","1","1","1","0","1",0,"1",0,0,"",0,2,2,1,"0","1","1","1","1","1","1","1","1","0",0
100,"R_796lIRK8ECFLHXP",0.899999976,1990,"0","Yes",36874,"White","No","Male",1,"1","1","1","1","1","1","1","Land/Wildlife Management","Federal Government","1","0","1","1","0","0","0",1,"1","1","1","1","1","1","1","1","0","1","1","0","0","1","0","1","0","1","1","0","0","0","1","0","0","1","1","1",0,"1",0,0,"",1,2,3,3,"1","1","1","1","1","1","1","1","1","1",13
100,"R_23XTi9NdVIoRDnX",0.899999976,1972,"1","Yes",36879,"White","No","Male",1,"1","1","0","0","","1","1","Education","Academic/Research Institution","0","0","0","0",NA,"0","0",0,"1","1","1","1","1","1","1","0","0","1","0","0","0","0","0","1","0","1","1","0","1","1","1","1","1","0","1","1",0,"1",0,0,"",1,2,4,1,"1","1","1","1","1","1","1","1","1","1",2
100,"R_8MS5loCaud04BnU",0.899999976,1998,"0","Yes",36830,"White","Yes","Male",0,"1","1","0","1","1","1","0","Research","Academic/Research Institution","1","0","1","1","1","0","0",0,"0","1","1","1","0","1","1","0","0","1","0","1","1","1","0","1","0","0","1","1","1","1","1","1","1","1","0","1",0,"1",0,1,"",1,2,7,3,"1","1","1","0","1","1","0","0","1","1",2
100,"R_52GqAPCgF06FmaI",0.800000012,1983,"1","Yes",35613,"I prefer not to answer","I prefer not to answer","I prefer not to answer",1,"1","0","0","0","","1","0","Land/Wildlife Management","Other","1","1","0","0",NA,"1",NA,0,"1","1","0","1","1","1","0","0","0","1","1","0","0","0","0","1","0","0","1","1","1","1","1","0","1","1","0","1",1,"0",0,0,"WAR EAGLE ",NA,2,4,4,"1","0","1","1","1","0","1","1","1","1",3
100,"R_2tsAJ8Pc8CX4IGV",0.899999976,1959,"1","Yes",35475,"White","No","Male",1,"1","1","1","0","","1","1","Land/Wildlife Management","Private Industry","1","0","1","0",NA,"0","0",0,"0","1","0","1","1","1","0","0","0","1","0","0","1","0","0","0","0","1","1","0","1","0","0","0","1","1","1","1",0,"1",1,0,"",1,4,1,2,"1","0","1","1","1","0","0","0","1","1",7
100,"R_1f7RnaFedqV4XKi",0.800000012,1995,"0","Yes",36840,"White","No","Male",0,"1","1","0","0","","1","0","Research","Academic/Research Institution","1","0","1","0",NA,"1",NA,0,"1","1","1","1","0","1","1","0","0","1","1","0","0","1","0","1","0","1","1","1","1","1","1","1","1","0","0","0",0,"1",1,1,"",1,4,8,2,"1","1","1","0","1","1","1","0","1","1",1
100,"R_5woeMehkzVMZ0L4",0.800000012,2000,"0","Yes",36830,"White","No","Female",0,"1","1","0","0","","1","0","Research","Academic/Research Institution","0","0","0","0",NA,NA,NA,0,"1","1","0","1","0","0","0","0","0","1","0","1","1","0","1","1","0","1","1","1","1","1","1","1","1","1","1","0",1,"1",0,0,"",0,2,2,4,"1","0","1","0","0","0","0","0","1","1",2
100,"R_50e26bjQvFqsB4G",0.899999976,1987,"1","Yes",36732,"White","No","Male",1,"1","1","0","1","0","1","1","Land/Wildlife Management","Private Industry","1","0","0","0",NA,NA,NA,0,"1","1","1","1","1","1","1","0","0","1","0","0","0","0","0","1","1","0","1","1","1","1","0","0","1","0","0","1",1,"1",0,0,"",1,2,4,4,"1","1","1","1","1","1","0","1","1","1",3
100,"R_64Jh9SE3kWOi2Dn",0.899999976,1995,"0","Yes",36830,"Other","Yes","Female",0,"1","1","0","0","","1","1","Research","Academic/Research Institution","1","0","1","1","1","1",NA,0,"1","1","1","1","0","1","0","0","0","1","0","0","1","1","0","1","0","0","1","1","1","0","0","1","1","1","1","1",0,"1",0,1,"two or three days in person",0,2,6,3,"1","1","1","0","1","1","0","0","1","1",1
100,"R_1Uj3ybWqGuK5bbP",0.800000012,1987,"1","Yes",35016,"White","No","Male",1,"1","1","0","0","","1","1","Land/Wildlife Management","Federal Government","1","1","1","1","0","0","0",1,"1","1","1","1","1","1","1","0","0","1","0","0","0","1","0","0","0","0","1","0","0","0","0","0","1","1","0","1",0,"1",0,1,"",1,2,6,3,"1","1","1","1","1","1","0","1","1","1",13
100,"R_15blYV6wxynsLC1",0.899999976,1985,"1","Yes",36804,"White","No","Male",1,"1","1","1","0","","1","1","Research","Academic/Research Institution","0","0","0","1","0","0","1",0,"1","1","1","1","1","1","1","0","0","1","1","0","1","0","0","1","0","1","1","1","1","1","0","0","1","1","0","1",0,"1",0,0,"",1,2,1,2,"1","1","1","1","1","1","1","1","1","1",7
100,"R_2GCjdqVqJNFOoJr",0.899999976,1998,"0","Yes",35565,"White","No","Male",0,"1","0","0","1","1","0","0","Land/Wildlife Management","Private Industry","1","1","0","0",NA,NA,NA,0,"1","1","0","1","1","1","1","0","0","1","0","0","1","0","0","1","0","0","1","0","1","1","0","0","1","1","1","1",0,"0",0,0,"",1,2,1,1,"1","0","1","1","1","1","0","0","1","1",5
100,"R_7JLqT2RlBR4FhS9",1,1967,"1","Yes",36532,"White","No","Male",1,"1","1","0","0","","1","1","Administration","Federal Government","1","0","1","0",NA,"0","0",0,"1","1","0","0","1","0","0","0","0","1","0","1","1","1","0","0","1","1","0","0","1","1","0","0","1","0","0","0",0,"1",0,1,"",1,2,8,2,"1","0","1","1","0","0","1","1","1","1",8
100,"R_1mQeank6q7nDkCB",0.899999976,1957,"1","Yes",35603,"I prefer not to answer","I prefer not to answer","Male",1,"1","1","1","0","","1","1","Administration","Federal Government","0","0","0","0",NA,NA,NA,0,"1","1","0","1","1","1","0","0","0","1","1","0","0","1","0","1","0","0","1","1","1","1","0","0","0","1","1","1",0,"1",0,0,"",1,2,1,2,"1","1","1","1","1","0","0","1","1","1",0
100,"R_5qc0ZeUKIB5WKkh",0.899999976,1971,"1","Yes",35503,"White","No","Male",1,"0","0","0","0","","0","0","Land/Wildlife Management","Private Industry","1","0","0","0",NA,NA,NA,0,"1","0","1","1","0","1","1","0","0","0","0","0","0","0","0","0","1","1","1","0","1","0","0","0","1","1","0","1",0,"0",0,0,"",1,3,1,2,"0","1","1","0","1","1","0","1","0","1",1
100,"R_2r7q83LSdX6JMc1",0.899999976,1984,"1","Yes",35555,"White","No","Male",1,"1","1","0","1","0","1","1","Land/Wildlife Management","Private Industry","1","1","0","0",NA,"0","0",1,"1","1","1","1","1","1","1","0","0","1","0","0","1","1","0","1","1","1","1","0","1","1","0","0","1","1","1","1",0,"1",0,1,"",1,2,5,1,"1","1","1","1","1","1","1","1","1","1",17
100,"R_2pY7OU46Jg2FSRm",1,1976,"1","Yes",36092,"White","No","Male",1,"1","1","0","0","","0","1","Land/Wildlife Management","State/Provincial Government","1","0","1","1","0","0","0",0,"1","1","0","1","1","1","0","0","0","1","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0",1,"0",0,0,"",1,2,2,4,"1","0","1","1","1","0","0","1","1","0",6
100,"R_3YtEcbqy7vf3JS1",0.899999976,1963,"1","Yes",35811,"White","No","Male",1,"0","0","0","0","","0","0","Land/Wildlife Management","Private Industry","1","0","0","0",NA,NA,NA,0,"1","1","0","1","0","0","0","0","0","0","0","1","1","1","1","0","0","0","1","1","1","1","0","0","1","1","1","1",0,"1",0,0,"Asynchronous Course. Over all the health of animals is important.  Providing supplements and info of what to do and not to do to the public is very important. ",1,2,2,2,"1","1","1","0","0","0","0","1","1","1",1
