StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Q_RelevantIDLastStartDate,Q_BallotBoxStuffing,Q2,Q3,Q4,Q5,Q5_7_TEXT,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q93,Q13,Q14,Q15,Q15_6_TEXT,Q16,Q16_8_TEXT,Q18,Q17_1,Q19,Q20,Q94,Q21,Q95,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q32,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q41,Q42,Q43,Q44,Q46,Q47,Q48,Q49,Q50,Q51,Q52,Q53,Q54,Q54_8_TEXT,Q55,Q56,Q56_4_TEXT,Q57,Q57_9_TEXT,Q58
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Q_RecaptchaScore,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Q_RelevantIDLastStartDate,Q_BallotBoxStuffing,What year were you born?,Do you live and/or work in Alabama,"What is the zip code of your current residence?
(5 digit zip code)",Select the race that best describes you: - Selected Choice,Select the race that best describes you: - Other - Text,"Do you identify with Latino, Hispanic, or Spanish origin?",What is your gender?,What was your approximate household income in 2019?,What is the highest degree or level of education you have completed?,"Do you have a degree in wildlife biology, ecology, or management or related field?",Are you certified by The Wildlife Society (TWS) as a wildlife biologist?,Have you taken a formal course on wildlife health?,When did you take a formal course on wildlife health?,Do you consider yourself to be a wildlife biologist?,For how many years have you been employed as a wildlife biologist?,Which type of activities best describe the primary focus of your work in wildlife biology? - Selected Choice,Which type of activities best describe the primary focus of your work in wildlife biology? - Other - Text,What is your primary affiliation in the field of wildlife biology? - Selected Choice,What is your primary affiliation in the field of wildlife biology? - Other - Text,How frequently do you come into direct physical contact with wildlife in Alabama as part of your employment duties?,What percentage of the time do you spend in the field as part of your employment duties? - Percentage,Do you regularly collect samples in the field from wildlife in Alabama?,Do you regularly handle samples in the laboratory or field that have been collected from wildlife in Alabama?,"When collecting samples, the animal is typically:","If you handle or collect samples from wildlife in Alabama, do you utilize personal protective equipment (PPE)?",How often do you use PPE when handling or collecting samples?,In which counties do you regularly come into contact with wildlife in Alabama? Select all that apply.,Did you have a hunting/trapping license for the state of Alabama in the past three years (2020-2023)?,Wild pigs may serve as a source of infectious disease transmission to both humans and domestic animals in Alabama.,Brucellosis affects reproduction in domestic animals but is not a concern for wildlife.,Chronic Wasting Disease (CWD) is primarily transmitted among cervids (deer/elk) through ticks.,Avian influenza has been found in wild and domestic birds in Alabama.,Avian influenza does not kill wildlife.,SARS CoV2 (COVID) can infect deer.,SARS CoV2 (COVID) from wildlife can infect humans.,Rabies has been found in ALL states that border Alabama.,How is rabies transmitted?,How should you dispose of a fresh wild turkey carcass that was found in Alabama?,CWD was present in Alabama before the 21st century,Bats are significant carriers of many infectious diseases in Alabama,Personal Protective Equipment (PPE) is necessary when conducting fieldwork that does not directly involve zoonotic diseases,Epizootic Hemorrhagic Disease (EHD) is a major threat to human health,The only way to deal with zoonotic diseases in wildlife (such as rabies) is to let nature take its course,Reducing the population of certain wild species in affected areas will eliminate infectious diseases in Alabama,Current plans to manage wildlife populations in Alabama will be effective in controlling infectious diseases,Surveillance is essential to successful infectious disease management,"The vaccination of wildlife, such as for rabies, should be considered for other diseases",About the current prevalence of wildlife diseases in Alabama,That infectious diseases will affect Alabama’s biodiversity,That wildlife diseases in my region will affect my health or my family’s health today.,That climate change will impact wildlife health in Alabama.,A course on wildlife health should be required for a major in wildlife biology,Information on wildlife health can be acquired through continuing education rather than in undergraduate courses,All critical elements (including aspects of wildlife health) can be acquired through on-the-job training and experience,Is the information you need regarding wildlife health in Alabama easily accessible to you?,What is your preferred source to obtain information regarding wildlife health in Alabama? Please select all that apply. - Selected Choice,What is your preferred source to obtain information regarding wildlife health in Alabama? Please select all that apply. - Other - Text,Would you be interested in learning more about wildlife health in Alabama?,"If there was a free course on wildlife health in Alabama, how would you like to participate? Please select all that apply. - Selected Choice","If there was a free course on wildlife health in Alabama, how would you like to participate? Please select all that apply. - Other - Text",What topics would you like to obtain more information regarding wildlife health in Alabama? Please select all that apply. - Selected Choice,What topics would you like to obtain more information regarding wildlife health in Alabama? Please select all that apply. - Other - Text,"Please write any additional comments, questions, or concerns below"
"{""ImportId"":""startDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""endDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""Q_RelevantIDDuplicate""}","{""ImportId"":""Q_RelevantIDDuplicateScore""}","{""ImportId"":""Q_RelevantIDFraudScore""}","{""ImportId"":""Q_RelevantIDLastStartDate"",""timeZone"":""UTC""}","{""ImportId"":""Q_BallotBoxStuffing""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID2""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID3_7_TEXT""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID12""}","{""ImportId"":""QID51""}","{""ImportId"":""QID52""}","{""ImportId"":""QID53""}","{""ImportId"":""QID54""}","{""ImportId"":""QID103""}","{""ImportId"":""QID56""}","{""ImportId"":""QID57""}","{""ImportId"":""QID58""}","{""ImportId"":""QID58_6_TEXT""}","{""ImportId"":""QID59""}","{""ImportId"":""QID59_8_TEXT""}","{""ImportId"":""QID61""}","{""ImportId"":""QID60_1""}","{""ImportId"":""QID20""}","{""ImportId"":""QID62""}","{""ImportId"":""QID104""}","{""ImportId"":""QID63""}","{""ImportId"":""QID105""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID31""}","{""ImportId"":""QID64""}","{""ImportId"":""QID65""}","{""ImportId"":""QID66""}","{""ImportId"":""QID67""}","{""ImportId"":""QID68""}","{""ImportId"":""QID69""}","{""ImportId"":""QID32""}","{""ImportId"":""QID35""}","{""ImportId"":""QID37""}","{""ImportId"":""QID71""}","{""ImportId"":""QID75""}","{""ImportId"":""QID76""}","{""ImportId"":""QID77""}","{""ImportId"":""QID78""}","{""ImportId"":""QID81""}","{""ImportId"":""QID85""}","{""ImportId"":""QID86""}","{""ImportId"":""QID87""}","{""ImportId"":""QID88""}","{""ImportId"":""QID90""}","{""ImportId"":""QID91""}","{""ImportId"":""QID92""}","{""ImportId"":""QID93""}","{""ImportId"":""QID94""}","{""ImportId"":""QID96""}","{""ImportId"":""QID97""}","{""ImportId"":""QID98""}","{""ImportId"":""QID98_8_TEXT""}","{""ImportId"":""QID99""}","{""ImportId"":""QID100""}","{""ImportId"":""QID100_4_TEXT""}","{""ImportId"":""QID101""}","{""ImportId"":""QID101_9_TEXT""}","{""ImportId"":""QID102_TEXT""}"
2024-05-10 07:42:52,2024-05-10 07:44:42,Survey Preview,100,109,True,2024-05-10 07:44:43,R_25LsR9yYzzdhavL,preview,EN,1,,,,,,2000,Yes,36830,White,,No,Female,"$20,001-30,000",High school graduate/GED,Yes,Yes,Yes,5-10 years,Yes,<1 year,Land/Wildlife Management,,Academic/Research Institution,,Daily,30,No,Yes,Alive - Not Sedated,No,,Autauga,No,True,I don't know,False,I don't know,I don't know,True,True,I don't know,Blood,Bury,Agree,Agree,Neutral,Neutral,Agree,Strongly Agree,Agree,Strongly Disagree,Neutral,Strongly Agree,Neutral,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Disagree,No,State Wildlife Agency,,Unsure,"One day, virtual conference",,Leptospirosis,,
2024-05-15 10:33:11,2024-05-15 10:54:06,IP Address,100,1255,True,2024-05-15 10:54:07,R_2mxBbIVl41Evegu,anonymous,EN,1,,,,,,1999,Yes,36832,White,,No,Male,"$0-20,000",Graduate or Professional School,Yes,No,No,,Yes,1-5 years,Research,,Academic/Research Institution,,Daily,50,Yes,Yes,Alive - Not Sedated,Yes,Usually (>75%),Russell,Yes,True,False,False,I don't know,False,True,True,True,Bites,Incinerate,Strongly Disagree,Neutral,Agree,Disagree,Disagree,Neutral,Disagree,Strongly Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Disagree,No,"Academic Publications,Conferences",,Yes,"One day, in-person conference",,"Vector borne diseases,CWD,SarsCoV2,One Health",,
2024-05-15 10:57:00,2024-05-15 11:03:34,IP Address,100,393,True,2024-05-15 11:03:35,R_1agj9jjmp2l6TRr,anonymous,EN,0.8999999761581421,,,,,,1973,Yes,36879,White,,No,Male,"$100,001+",Graduate or Professional School,Yes,No,No,,Yes,>20 years,Research,,Academic/Research Institution,,Rarely,10,No,No,,No,,"DeKalb,Mobile",No,True,False,I don't know,I don't know,False,True,True,True,Bites,I don't know,Disagree,Neutral,Agree,Agree,Strongly Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Strongly Agree,Neutral,Agree,Agree,Yes,Academic Publications,,Yes,"One day, in-person conference",,"Rabies,Influenza,Vector borne diseases,CWD,SarsCoV2,One Health",,
2024-05-15 11:04:11,2024-05-15 11:11:04,IP Address,100,412,True,2024-05-15 11:11:04,R_2wiz7QrGcVirdmI,anonymous,EN,0.699999988079071,,,,,,1972,Yes,36804,Asian,,No,Male,"$80,001-90,000",Graduate or Professional School,Yes,No,Yes,>10 years,Yes,10-20 years,Research,,Academic/Research Institution,,Rarely,20,Yes,Yes,Alive - Not Sedated,Yes,Always (100%),Lee,No,True,False,False,I don't know,False,True,True,True,Bites,Place in a dumpster,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Agree,Neutral,Strongly Disagree,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Yes,"State Wildlife Agency,Academic Publications",,Yes,"One day, in-person conference",,"Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD,SarsCoV2,One Health",,
2024-05-15 10:48:57,2024-05-15 11:14:47,IP Address,100,1550,True,2024-05-15 11:14:48,R_3OepAOjEO0mxspj,anonymous,EN,0.699999988079071,,,,,,1981,Yes,36832,White,,No,Female,"$100,001+",Graduate or Professional School,No,No,No,,Yes,5-10 years,Research,,Academic/Research Institution,,Never,0,No,No,,,,,No,I don't know,False,False,True,False,True,True,False,Bites,I don't know,Agree,Agree,Agree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Agree,Agree,Disagree,Yes,Academic Publications,,Yes,"One day, virtual conference",,"SarsCoV2,One Health",,
2024-05-15 11:41:00,2024-05-15 11:49:14,IP Address,100,494,True,2024-05-15 11:49:15,R_796lIRK8ECFLHXP,anonymous,EN,0.8999999761581421,,,,,,1990,Yes,36874,White,,No,Male,"$100,001+",College Graduate/BA or BS (4-year degree),Yes,Yes,Yes,5-10 years,Yes,5-10 years,Land/Wildlife Management,,Federal Government,,Weekly,20,Yes,Yes,Dead,Yes,Always (100%),"Baldwin,Barbour,Bullock,Chambers,Cullman,Dale,Jefferson,Lee,Macon,Mobile,Montgomery,Russell,Tallapoosa",Yes,True,False,False,True,False,True,False,True,Bites,Incinerate,Disagree,Neutral,Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Agree,Yes,"State Wildlife Agency,Academic Publications,Conferences,Other",Professional Connections,Yes,"One day, in-person conference",,"CWD,SarsCoV2,One Health",,
2024-05-15 11:43:00,2024-05-15 11:53:54,IP Address,100,653,True,2024-05-15 11:53:55,R_23XTi9NdVIoRDnX,anonymous,EN,0.8999999761581421,,,,,,1972,Yes,36879,White,,No,Male,"$100,001+",Graduate or Professional School,Yes,No,No,,Yes,>20 years,Education,,Academic/Research Institution,,Rarely,0,No,No,,Yes,Always (100%),"Dallas,Wilcox",Yes,True,False,False,True,False,True,True,True,Bites,Place in a dumpster,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Yes,State Wildlife Agency,,Yes,"One day, in-person conference",,"Rabies,Leptospirosis,Raccoon roundworm,Vector borne diseases",,
2024-05-15 12:13:34,2024-05-15 12:18:28,IP Address,100,294,True,2024-05-15 12:18:29,R_8MS5loCaud04BnU,anonymous,EN,0.8999999761581421,,,,,,1998,Yes,36830,White,,Yes,Male,"$0-20,000",College Graduate/BA or BS (4-year degree),Yes,No,Yes,<5 years,Yes,1-5 years,Research,,Academic/Research Institution,,Weekly,40,Yes,Yes,Alive - Sedated,Yes,Usually (>75%),"Baldwin,Tallapoosa",No,True,False,False,I don't know,False,True,I don't know,I don't know,Bites,Field dress and consumption,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Disagree,Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Yes,"State Wildlife Agency,Academic Publications,Conferences",,Yes,"One day, virtual conference",,"Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD,SarsCoV2",,
