COMPLETE,ID,QSCORE,DOB,AGE,RESIDENT,ZIPCODE,RACE,ETHNICITY,GENDER,INCOME,EDUCATION,DEGREE,TWS,COURSE,COURSETIME,SELFTITLE,BIOTIME,ACTIVITY,AFFILIATE,CONTACT,FIELD,COLLECT,HANDLE,STATE,PPE,PPETIME,COUNTIES,LICENSE,PIGS,BRUCE,CWD,FLUAL,FLU,COVID,COVIDSPILL,RABIESAL,RABIES,TURKEY,CWDAL,BATS,PPEREQ,EHD,DARWIN,POPRED,POPPLAN,SURVEY,VACCINE,PREVAL,DIVERSE,CONSEQ,CLIMATE,EDREQ,INFO,HANDSON,ACCESS,SOURCE,INTEREST,FREEINFO,TOPICS,QSNCS
23,FS_7B2wdeXphMLN98k,1,1976,,Yes,36804,White,No,Male,"$70,001-80,000",Graduate or Professional School,No,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,FS_7O8oLzXVaKtRx8O,1,1979,,Yes,36830,White,No,Male,"$100,001+",College Graduate/BA or BS (4-year degree),No,No,Yes,>10 years,No,<1 year,Land/Wildlife Management,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,FS_34iKXtVlnEnTcZo,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,FS_7Yc5xR7EqYApXBD,0.899999976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,FS_50PdKbqf95EjSQH,0.800000012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,FS_2QRhUXeWnYamozk,0.899999976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,FS_1B1IIOZMS1C0o9P,0.899999976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,FS_7dmV9ebKjJQqBgP,0.899999976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,FS_7zApnHXO7gxrORl,0.899999976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,FS_2VZt59u9crvEYIp,0.899999976,1985,,Yes,35951,White,No,Male,"$60,001-70,000",High school graduate/GED,No,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,FS_1pKgHP0yigEv5kX,0.899999976,1972,,Yes,36571,White,No,Male,"$100,001+",Some College/AA or AS (2-year degree),No,No,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,FS_2skHS5KUXauPbeF,0.899999976,1973,,Yes,35173,White,No,Male,"$100,001+",College Graduate/BA or BS (4-year degree),No,No,Yes,>10 years,No,<1 year,Education,Private Industry,Rarely,10,No,No,,,,"Chambers,Tallapoosa,Wilcox",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,FS_1nDcAhhaw9cWVES,0.800000012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,FS_3KxzMBvu8Jk80UT,0.899999976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,FS_1ltTGhEUHNj1w2V,1,1966,,Yes,35801,White,No,Male,"$100,001+",College Graduate/BA or BS (4-year degree),Yes,No,Yes,>10 years,No,<1 year,Education,Private Industry,Weekly,70,Yes,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,FS_1xJIGziI6qDBc9M,0.800000012,1971,,Yes,35581,White,No,Male,"$100,001+",Some College/AA or AS (2-year degree),No,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,FS_81oUgtzYyYaGH21,0.899999976,1969,,No,36037,White,No,Male,"$100,001+",Graduate or Professional School,No,No,Yes,>10 years,No,<1 year,Land/Wildlife Management,Private Industry,Daily,80,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,FS_20NXuaLa8ihV4qK,0.800000012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
