COMPLETE,ID,QSCORE,DOB,AGE,RESIDENT,ZIPCODE,RACE,ETHNICITY,GENDER,INCOME,EDUCATION,DEGREE,TWS,COURSE,COURSETIME,SELFTITLE,BIOTIME,ACTIVITY,AFFILIATE,CONTACT,FIELD,COLLECT,HANDLE,STATE,PPE,PPETIME,COUNTIES,LICENSE,PIGS,BRUCE,CWD,FLUAL,FLU,COVID,COVIDSPILL,RABIESAL,RABIES,TURKEY,CWDAL,BATS,PPEREQ,EHD,DARWIN,POPRED,POPPLAN,SURVEY,VACCINE,PREVAL,DIVERSE,CONSEQ,CLIMATE,EDREQ,INFO,HANDSON,ACCESS,SOURCE,INTEREST,FREEINFO,TOPICS,QSNCS
100,R_25LsR9yYzzdhavL,1,2000,24,Yes,36830,White,No,Female,"$20,001-30,000",High school graduate/GED,Yes,Yes,Yes,5-10 years,Yes,<1 year,Land/Wildlife Management,Academic/Research Institution,Daily,30,No,Yes,Alive - Not Sedated,No,,Autauga,No,TRUE,I don't know,FALSE,I don't know,I don't know,TRUE,TRUE,I don't know,Blood,Bury,Agree,Agree,Neutral,Neutral,Agree,Strongly Agree,Agree,Strongly Disagree,Neutral,Strongly Agree,Neutral,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Disagree,No,State and Federal Agencies,Unsure,"One day, virtual conference",Leptospirosis,
100,R_2mxBbIVl41Evegu,1,1999,25,Yes,36832,White,No,Male,"$0-20,000",Graduate or Professional School,Yes,No,No,,Yes,1-5 years,Research,Academic/Research Institution,Daily,50,Yes,Yes,Alive - Not Sedated,Yes,Usually (>75%),Russell,Yes,TRUE,FALSE,FALSE,I don't know,FALSE,TRUE,TRUE,TRUE,Bites,Incinerate,Strongly Disagree,Neutral,Agree,Disagree,Disagree,Neutral,Disagree,Strongly Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Disagree,No,"Academic Publications,Conferences",Yes,"One day, in-person conference","Vector borne,CWD,SarsCoV2,One Health",
100,R_1agj9jjmp2l6TRr,0.899999976,1973,51,Yes,36879,White,No,Male,"$100,001+",Graduate or Professional School,Yes,No,No,,Yes,>20 years,Research,Academic/Research Institution,Rarely,10,No,No,,No,,"DeKalb,Mobile",No,TRUE,FALSE,I don't know,I don't know,FALSE,TRUE,TRUE,TRUE,Bites,I don't know,Disagree,Neutral,Agree,Agree,Strongly Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Strongly Agree,Neutral,Agree,Agree,Yes,Academic Publications,Yes,"One day, in-person conference","Rabies,Influenza,Vector borne,CWD,SarsCoV2,One Health",
100,R_2wiz7QrGcVirdmI,0.699999988,1972,52,Yes,36804,Asian,No,Male,"$80,001-90,000",Graduate or Professional School,Yes,No,Yes,>10 years,Yes,10-20 years,Research,Academic/Research Institution,Rarely,20,Yes,Yes,Alive - Not Sedated,Yes,Always (100%),Lee,No,TRUE,FALSE,FALSE,I don't know,FALSE,TRUE,TRUE,TRUE,Bites,Place in a dumpster,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Agree,Neutral,Strongly Disagree,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Yes,"State and Federal Agencies,Academic Publications",Yes,"One day, in-person conference","Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne,CWD,SarsCoV2,One Health",
100,R_3OepAOjEO0mxspj,0.699999988,1981,43,Yes,36832,White,No,Female,"$100,001+",Graduate or Professional School,No,No,No,,Yes,5-10 years,Research,Academic/Research Institution,Never,0,No,No,,,,,No,I don't know,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,Bites,I don't know,Agree,Agree,Agree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Agree,Agree,Disagree,Yes,Academic Publications,Yes,"One day, virtual conference","SarsCoV2,One Health",
100,R_796lIRK8ECFLHXP,0.899999976,1990,34,Yes,36874,White,No,Male,"$100,001+",College Graduate/BA or BS (4-year degree),Yes,Yes,Yes,5-10 years,Yes,5-10 years,Land/Wildlife Management,Federal Government,Weekly,20,Yes,Yes,Dead,Yes,Always (100%),"Baldwin,Barbour,Bullock,Chambers,Cullman,Dale,Jefferson,Lee,Macon,Mobile,Montgomery,Russell,Tallapoosa",Yes,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,Bites,Incinerate,Disagree,Neutral,Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Agree,Yes,"State and Federal Agencies,Academic Publications,Conferences ",Yes,"One day, in-person conference","CWD,SarsCoV2,One Health",
100,R_23XTi9NdVIoRDnX,0.899999976,1972,52,Yes,36879,White,No,Male,"$100,001+",Graduate or Professional School,Yes,No,No,,Yes,>20 years,Education,Academic/Research Institution,Rarely,0,No,No,,Yes,Always (100%),"Dallas,Wilcox",Yes,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Bites,Place in a dumpster,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Yes,State and Federal Agencies,Yes,"One day, in-person conference","Rabies,Leptospirosis,Raccoon roundworm,Vector borne",
100,R_8MS5loCaud04BnU,0.899999976,1998,26,Yes,36830,White,Yes,Male,"$0-20,000",College Graduate/BA or BS (4-year degree),Yes,No,Yes,<5 years,Yes,1-5 years,Research,Academic/Research Institution,Weekly,40,Yes,Yes,Alive - Sedated,Yes,Usually (>75%),"Baldwin,Tallapoosa",No,TRUE,FALSE,FALSE,I don't know,FALSE,TRUE,I don't know,I don't know,Bites,Field dress and consumption,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Disagree,Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Yes,"State and Federal Agencies,Academic Publications,Conferences",Yes,"One day, virtual conference","Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne,CWD,SarsCoV2",
100,R_52GqAPCgF06FmaI,0.800000012,1983,41,Yes,35613,I prefer not to answer,I prefer not to answer,I prefer not to answer,"$70,001-80,000",College Graduate/BA or BS (4-year degree),No,No,No,,Yes,<1 year,Land/Wildlife Management,Other,Daily,100,No,No,,No,,"Lauderdale,Limestone,Morgan",Yes,TRUE,I don't know,FALSE,TRUE,FALSE,I don't know,TRUE,TRUE,Bites,Incinerate,Neutral,Neutral,Disagree,Neutral,Disagree,Agree,Neutral,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Strongly Agree,Agree,Neutral,Yes,"Friends/Family,State and Federal Agencies,Social Media,Conferences",Unsure,"One day, virtual conference","Rabies,Influenza,Vector borne,CWD",WAR EAGLE 
100,R_2tsAJ8Pc8CX4IGV,0.899999976,1959,65,Yes,35475,White,No,Male,"$100,001+",College Graduate/BA or BS (4-year degree),Yes,Yes,No,,Yes,>20 years,Land/Wildlife Management,Private Industry,Monthly,40,Yes,No,,Yes,Usually (>75%),"Dallas,Greene,Hale,Marengo,Perry,Pickens,Tuscaloosa",No,TRUE,I don't know,FALSE,TRUE,FALSE,I don't know,I don't know,I don't know,Bites,Bury,Strongly Disagree,Agree,Neutral,Disagree,Neutral,Neutral,Disagree,Agree,Neutral,Agree,Neutral,Disagree,Neutral,Agree,Agree,Strongly Agree,Yes,"Academic Publications,Conferences",Yes,"One day, in-person conference,One day, virtual conference",CWD ,
