START,END,PROG,DURATION,FINISHED,RECORDED,ID,QSCORE,DOB,RESIDENT,ZIPCODE,RACE,ETHNICITY,GENDER,INCOME,EDUCATION,DEGREE,TWS,COURSE,COURSETIME,SELFTITLE,BIOTIME,ACTIVITY,ACTIVITYfill,othACTIVITY,AFFILIATE,AFFILIATEfill,othAFFILIATE,CONTACT,FIELD,COLLECT,HANDLE,STATE,PPE,PPETIME,COUNTIES,LICENSE,PIGS,BRUCE,CWD,FLUAL,FLU,COVID,COVIDSPILL,RABIESAL,RABIES,TURKEY,CWDAL,BATS,PPEREQ,EHD,DARWIN,POPRED,POPPLAN,SURVEY,VACCINE,PREVAL,DIVERSE,CONSEQ,CLIMATE,EDREQ,INFO,HANDSON,ACCESS,SOURCE,SOURCEfill,othSOURCE,INTEREST,FREEINFO,FREEINFOfill,othFREEINFO,TOPICS,TOPICSfill,othTOPICS,QSNCS
5/29/2024 16:28,5/29/2024 16:34,60,380,False,8/29/2024 16:34,R_10wA8r2TPH33DH8,0.699999988,1974,Yes,36017,I prefer not to answer,No,Male,"$100,001+",Graduate or Professional School,Yes,No,No,,Yes,>20 years,Land/Wildlife Management,Land/Wildlife Management,,Private Industry,Private Industry,,Rarely,30,No,No,,,,,Yes,True,False,False,True,False,True,I don't know,True,Bites,Bury,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/16/2024 11:08,5/16/2024 11:11,60,198,False,8/16/2024 11:11,R_2TMYM108R9CoAgN,0.899999976,1962,Yes,36421,White,No,Male,"$100,001+",Graduate or Professional School,Yes,No,Yes,5-10 years,Yes,1-5 years,Research,Research,,Private Industry,Private Industry,,Weekly,20,No,No,,Yes,Always (100%),Covington,Yes,True,True,True,True,False,False,False,True,Bites,Incinerate,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/16/2024 19:28,5/16/2024 19:32,60,228,False,8/16/2024 19:32,R_5fZ8D7TVsLicAaK,0.699999988,1972,Yes,36376,White,No,Male,"$100,001+",College Graduate/BA or BS (4-year degree),No,No,No,,Yes,>20 years,Land/Wildlife Management,Land/Wildlife Management,,Private Industry,Private Industry,,Daily,100,No,No,,,,"Dale,Henry,Houston",Yes,True,False,False,True,False,I don't know,I don't know,True,Bites,Bury,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/23/2024 15:09,5/23/2024 15:19,60,546,False,8/23/2024 15:19,R_6JPDQfIiid1j96T,0.899999976,1977,Yes,36081,White,No,Female,"$100,001+",Graduate or Professional School,Yes,No,No,,Yes,>20 years,Administration,Administration,,State/Provincial Government,State/Provincial Government,,Weekly,50,Yes,Yes,Alive - Sedated,,,"Autauga,Baldwin,Barbour,Bibb,Bullock,Coffee,Colbert,Conecuh,Coosa,Covington,Crenshaw,Cullman,Dale,DeKalb,Elmore,Escambia,Fayette,Franklin,Geneva,Houston,Lamar,Lauderdale,Lawrence,Limestone,Lowndes,Macon,Madison,Marengo,Marion,Marshall,Mobile,Montgomery,Morgan,Perry,Talladega,Walker,Wilcox,Winston",Yes,True,True,False,True,False,True,False,True,Bites,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/16/2024 21:17,5/16/2024 21:20,68,171,False,8/16/2024 21:20,R_5kFvwYcgSxHuNHP,0.899999976,1990,Yes,35950,White,No,Male,"$100,001+",Graduate or Professional School,No,No,No,,No,<1 year,Land/Wildlife Management,Land/Wildlife Management,,Federal Government,Federal Government,,Daily,70,No,No,,Yes,Usually (>75%),Jackson,Yes,True,False,False,False,False,True,False,True,Bites,Field dress and consumption,Disagree,Agree,Disagree,Disagree,Disagree,,,,,,,,,,,,,,,,,,,,,,,
5/21/2024 14:56,5/21/2024 15:05,77,531,False,8/21/2024 15:05,R_6ZCeY9nA0XVZTC0,0.699999988,2000,Yes,35401,White,No,Male,"$60,001-70,000",Graduate or Professional School,Yes,No,No,,Yes,1-5 years,Land/Wildlife Management,Land/Wildlife Management,,Private Industry,Private Industry,,Rarely,20,Yes,No,,Yes,Rarely (<25%),"Greene,Hale,Henry",Yes,True,False,False,True,False,True,True,True,Bites,Field dress and consumption,Strongly Disagree,Disagree,Strongly Agree,Neutral,Strongly Disagree,Disagree,Disagree,Agree,Strongly Agree,,,,,,,,,,,,,,,,,,,
5/17/2024 5:19,5/17/2024 5:28,90,552,False,8/17/2024 5:28,R_7S9cVAL8ogGop5N,0.699999988,1970,Yes,36024,White,No,Male,"$100,001+",Graduate or Professional School,Yes,Yes,Yes,>10 years,Yes,<1 year,Land/Wildlife Management,Land/Wildlife Management,,Nonprofit/Conservation Organization,Nonprofit/Conservation Organization,,Rarely,10,No,No,,Yes,Always (100%),Elmore,Yes,True,I don't know,True,True,True,True,False,True,I don't know,Incinerate,Disagree,Agree,Strongly Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Agree,Strongly Agree,Agree,,,,,,,,,,,,
5/15/2024 15:39,5/15/2024 15:45,90,360,False,8/15/2024 15:45,R_8n1of4HKLRYBne9,0.899999976,1964,Yes,36460,White,No,Male,"$100,001+",College Graduate/BA or BS (4-year degree),Yes,Yes,Yes,>10 years,Yes,>20 years,Land/Wildlife Management,Land/Wildlife Management,,Private Industry,Private Industry,,Daily,60,No,No,,,,Monroe,Yes,True,False,False,False,False,I don't know,I don't know,True,Bites,Field dress and consumption,Neutral,Agree,Neutral,Disagree,Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Agree,Neutral,,,,,,,,,,,,
5/16/2024 16:32,5/16/2024 16:40,98,474,False,8/16/2024 16:40,R_3AFnYo06quieDky,0.899999976,1990,Yes,35744,White,No,Male,"$90,001-100,000",Some College/AA or AS (2-year degree),No,No,No,,No,<1 year,Research,Research,,Private Industry,Private Industry,,Daily,50,No,No,,,,Jackson,Yes,True,True,False,True,False,False,False,True,Bites,Incinerate,Agree,Agree,Agree,Disagree,Agree,Strongly Disagree,Disagree,Strongly Agree,Agree,Agree,Agree,Disagree,Strongly Disagree,Strongly Agree,Agree,Neutral,Yes,"State Wildlife Agency,Academic Publications","State Wildlife Agency,Academic Publications",,Yes,One day virtual conference,One day virtual conference,,CWD,CWD,,
5/22/2024 9:38,5/22/2024 9:45,100,420,True,5/22/2024 9:45,R_116DfQmDDJ3kHV1,0.5,1991,Yes,35811,White,No,Male,"$100,001+",College Graduate/BA or BS (4-year degree),Yes,No,No,,Yes,5-10 years,Land/Wildlife Management,Land/Wildlife Management,,State/Provincial Government,State/Provincial Government,,Rarely,70,No,No,,Yes,Usually (>75%),"Limestone,Madison,Morgan",Yes,True,False,False,True,False,True,True,I don't know,I don't know,Field dress and consumption,Disagree,Agree,Neutral,Disagree,Neutral,Disagree,Neutral,Neutral,Agree,Neutral,Strongly Agree,Agree,Strongly Disagree,Agree,Disagree,Disagree,No,State Wildlife Agency,State Wildlife Agency,,Unsure,One day virtual conference,One day virtual conference,,"Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD,SarsCoV2,One Health","Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD,SarsCoV2,One Health",,
