START,END,PROG,DURATION,FINISHED,RECORDED,ID,QSCORE,DOB,RESIDENT,ZIPCODE,RACE,ETHNICITY,GENDER,INCOME,EDUCATION,DEGREE,TWS,COURSE,COURSETIME,SELFTITLE,BIOTIME,ACTIVITYfill,ACTIVITYfill,othACTIVITY,AFFILIATEfill,AFFILIATEfill,othAFFILIATE,CONTACT,FIELD,COLLECT,HANDLE,STATE,PPE,PPETIME,COUNTIES,LICENSE,PIGS,BRUCE,CWD,FLUAL,FLU,COVID,COVIDSPILL,RABIESAL,RABIES,TURKEY,CWDAL,BATS,PPEREQ,EHD,DARWIN,POPRED,POPPLAN,SURVEY,VACCINE,PREVAL,DIVERSE,CONSEQ,CLIMATE,EDREQ,INFO,HANDSON,ACCESS,SOURCE,SOURCEfill,othSOURCE,INTEREST,FREEINFO,FREEINFOfill,othFREEINFO,TOPICS,TOPICSfill,othTOPICS,QSNCS
5/15/2024 10:36,5/15/2024 10:37,23,53,FALSE,8/15/2024 10:37,R_7B2wdeXphMLN98k,1,1976,Yes,36804,White,No,Male,"$70,001-80,000",Graduate or Professional School,No,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/15/2024 12:39,5/15/2024 12:41,23,65,FALSE,8/15/2024 12:41,R_2VZt59u9crvEYIp,0.899999976,1985,Yes,35951,White,No,Male,"$60,001-70,000",High school graduate/GED,No,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/15/2024 12:40,5/15/2024 12:41,23,61,FALSE,8/15/2024 12:41,R_1pKgHP0yigEv5kX,0.899999976,1972,Yes,36571,White,No,Male,"$100,001+",Some College/AA or AS (2-year degree),No,No,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/15/2024 12:41,5/15/2024 12:45,43,194,FALSE,8/15/2024 12:45,R_2skHS5KUXauPbeF,0.899999976,1973,Yes,35173,White,No,Male,"$100,001+",College Graduate/BA or BS (4-year degree),No,No,Yes,>10 years,No,<1 year,Education,Education,,Private Industry,Private Industry,,Rarely,10,No,No,,,,"Chambers,Tallapoosa,Wilcox",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/15/2024 14:10,5/15/2024 14:12,23,77,FALSE,8/15/2024 14:12,R_1xJIGziI6qDBc9M,0.800000012,1971,Yes,35581,White,No,Male,"$100,001+",Some College/AA or AS (2-year degree),No,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/15/2024 16:31,5/15/2024 16:37,23,347,FALSE,8/15/2024 16:37,R_52flqAt24I80rwZ,1,1958,Yes,36879,White,No,Male,"$100,001+",College Graduate/BA or BS (4-year degree),No,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/15/2024 16:52,5/15/2024 17:29,23,2205,FALSE,8/15/2024 17:29,R_6D8yIZwRj4K9sUF,,1974,Yes,36567,White,No,Female,"$100,001+",College Graduate/BA or BS (4-year degree),No,No,Yes,<5 years,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/15/2024 20:35,5/15/2024 20:39,35,205,FALSE,8/15/2024 20:39,R_2LjsJoEAKt4LTgt,1,1962,Yes,35763,White,No,Male,"$60,001-70,000",High school graduate/GED,No,No,No,,Yes,>20 years,Land/Wildlife Management,Land/Wildlife Management,,Private Industry,Private Industry,,Daily,10,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/15/2024 22:40,5/15/2024 22:44,43,219,FALSE,8/15/2024 22:44,R_3qv64WxtgnN9vQ5,0.899999976,1900,Yes,35801,I prefer not to answer,I prefer not to answer,Other,"$0-20,000",Did not graduate high school/no GED,No,No,No,,Yes,<1 year,Other,Land/Wildlife Management,killing deer and any predator that eats them,Other,Other,,Daily,100,Yes,Yes,Dead,No,,Madison,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/16/2024 7:47,5/16/2024 7:48,28,83,FALSE,8/16/2024 7:48,R_7EjjRyvZXYt5Ez8,0.899999976,1988,Yes,35080,White,No,Male,"$100,001+",College Graduate/BA or BS (4-year degree),No,No,No,,No,<1 year,Land/Wildlife Management,Land/Wildlife Management,,Other,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
