COLUMNID,SURVEYBLOCK,QUESTION,ANSWERS
POPRED,Attitudes & Beliefs ,Reducing the population of wild species in affected areas will eliminate infectious diseases,"Strongly Agree, Agree, Neutral, Disagree, Strongly Disagree"
POPPLAN,Attitudes & Beliefs ,Current plans to manage wildlife populations will control infectious diseases,"Strongly Agree, Agree, Neutral, Disagree, Strongly Disagree"
SURVEY,Attitudes & Beliefs ,Surveillance is essential to successful infectious disease management,"Strongly Agree, Agree, Neutral, Disagree, Strongly Disagree"
VACCINE,Attitudes & Beliefs ,Vaccination of wildlife should be considered for other diseases,"Strongly Agree, Agree, Neutral, Disagree, Strongly Disagree"
PREVAL,Attitudes & Beliefs ,Concern about current prevalence of wildlife diseases,"Strongly Agree, Agree, Neutral, Disagree, Strongly Disagree"
DIVERSE,Attitudes & Beliefs ,Concern that infectious diseases will affect biodiversity,"Strongly Agree, Agree, Neutral, Disagree, Strongly Disagree"
CONSEQ,Attitudes & Beliefs ,Concern that wildlife diseases will affect personal/family health,"Strongly Agree, Agree, Neutral, Disagree, Strongly Disagree"
CLIMATE,Attitudes & Beliefs ,Concern that climate change will impact wildlife health,"Strongly Agree, Agree, Neutral, Disagree, Strongly Disagree"
EDREQ,Attitudes & Beliefs ,A course on wildlife health should be required for wildlife biology majors,"Strongly Agree, Agree, Neutral, Disagree, Strongly Disagree"
INFO,Attitudes & Beliefs ,Information on wildlife health can be acquired through continuing education rather than in undergraduate courses,"Strongly Agree, Agree, Neutral, Disagree, Strongly Disagree"
HANDSON,Attitudes & Beliefs ,Critical wildlife health elements can be learned through on-the-job training,"Strongly Agree, Agree, Neutral, Disagree, Strongly Disagree"
CWDAL,Attitudes & Beliefs ,CWD was present in Alabama before the 21st century,"Strongly Agree, Agree, Neutral, Disagree, Strongly Disagree"
BATS,Attitudes & Beliefs ,Bats are significant carriers of many infectious diseases in Alabama,"Strongly Agree, Agree, Neutral, Disagree, Strongly Disagree"
