"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",1.64642832771889,0.463241946299267,3.55414344679238,0.000379212317754941,0.639564067831485,2.48416708290003
"LOCATIONBullock County",0.393679832506387,0.566015540942491,0.695528309789618,0.486724276079035,-0.703225325863989,1.55435572194463
"LOCATIONCalhoun County",0.136662827015215,0.553287738534816,0.247001365649486,0.804907167180135,-0.934878035010571,1.27517700544669
"LOCATIONChambers County",0.393679832506387,0.566015540942491,0.695528309789618,0.486724276079035,-0.703225325863991,1.55435572194463
"LOCATIONClarke County",0.294385116476989,0.56821594122854,0.518086690493932,0.604397785962119,-0.816784275535571,1.45437049124098
"LOCATIONClay County",0.118174507388231,0.564830978160181,0.209221009394986,0.834275712218851,-0.97598639506498,1.27706486917134
"LOCATIONCoffee County",0.46373188525659,0.481097343946984,0.963904480228627,0.335093817463489,-0.427616549360135,1.49343778404315
"LOCATIONCoosa County",0.135662360200273,0.574482214677084,0.236147189128438,0.813318457574601,-1.00054354855094,1.30139143825786
"LOCATIONCovington County",0.489043842668695,0.505044374573868,0.968318562267576,0.332885297146952,-0.452162470946615,1.55886054675545
"LOCATIONCullman County",0.499040348164212,0.556113730703809,0.897371024327406,0.369520968829383,-0.571285467683374,1.64542944419145
"LOCATIONDale County",0.223535023046056,0.554908030918886,0.402832560696408,0.687071405981895,-0.843941214327656,1.36813386136688
"LOCATIONElmore County",0.180792263851029,0.472923176935452,0.382286749028806,0.70224868239158,-0.686681555855994,1.19963581403764
"LOCATIONEtowah County",0.287682072451781,0.540061724867322,0.532683690040165,0.594252558258535,-0.768517878102146,1.39865967952938
"LOCATIONHale County",0.0188797913588319,0.565699752962523,0.0333742259210121,0.97337616294508,-1.08668630665967,1.17500160082427
"LOCATIONHenry County",0.242023342673042,0.543153947331564,0.445588849831741,0.655894266327537,-0.802065566338106,1.36610266609289
"LOCATIONHouston County",0.285802509145976,0.525208717937762,0.544169392823834,0.586324911819045,-0.701679121813278,1.38792597739384
"LOCATIONJackson County",0.323690968836735,0.482311722610111,0.671123992352969,0.502141543856364,-0.562727803718094,1.35853825377049
"LOCATIONJefferson County",0.370862029055572,0.468801712120785,0.791085056788403,0.428894358601723,-0.484041398577789,1.38457143558634
"LOCATIONLauderdale County",0.281993968524382,0.620581272204845,0.454402962439543,0.649538820535585,-0.923341157256862,1.5397294510607
"LOCATIONLee County",0.300825358961268,0.445759737102962,0.674859871634802,0.499764797520385,-0.498051064827609,1.27950711542981
"LOCATIONMadison County",0.393679832506387,0.566015540942491,0.695528309789618,0.486724276079036,-0.703225325863989,1.55435572194463
"LOCATIONMarshall County",0.136662827015216,0.553287738534816,0.247001365649487,0.804907167180134,-0.934878035010572,1.27517700544669
"LOCATIONMontgomery County",0.0755435080325398,0.63627165984862,0.118728387259167,0.90549054583401,-1.22261022156366,1.33310633698797
"LOCATIONMorgan County",5.02615879699628e-16,0.577350269189627,8.70556240330682e-16,0.999999999999999,-1.16209453997649,1.16209453997649
"LOCATIONTalladega County",0.505449966466635,0.481933870013104,1.04879527652392,0.294272351912179,-0.38727659119761,1.53661603925898
"LOCATIONTuscaloosa County",-0.0193195089137976,0.496264886023839,-0.038929832550896,0.968946331655017,-0.943665165584297,1.03522842289024
"LOCATIONWalker County",0.242023342673042,0.543153947331564,0.445588849831741,0.655894266327537,-0.802065566338108,1.36610266609289
"COURSEbin",0.0184883196269854,0.143199181060777,0.129109115638996,0.897271309144551,-0.261958734496213,0.300178478313068
"BIOTIMEbin",0.268802281092949,0.168373227786346,1.59646687675336,0.110384595293565,-0.0627911567820666,0.597774813384215
"COUNTIESbin",0.0067030440252073,0.176642829459812,0.0379468787139888,0.969730036135531,-0.346386007294336,0.346791612805667
"LICENSEbin",0.138628097483959,0.162131735341682,0.855033699551845,0.392532491777644,-0.180635190322078,0.455641019752149
"HANDLEbin",NA,NA,NA,NA,NA,NA
"STATEbin",-0.112533923317328,0.156696641960207,-0.718164230640666,0.472656030055832,-0.420709974734626,0.194258143760817
