"START","END","PROG","DURATION","FINISHED","RECORDED","ID","QSCORE","DOB","RESIDENT","ZIPCODE","RACE","ETHNICITY","GENDER","INCOME","EDUCATION","DEGREE","TWS","COURSE","COURSETIME","SELFTITLE","BIOTIME","ACTIVITY","ACTIVITYfill","othACTIVITY","AFFILIATE","AFFILIATEfill","othAFFILIATE","CONTACT","FIELD","COLLECT","HANDLE","STATE","PPE","PPETIME","COUNTIES","LICENSE","PIGS","BRUCE","CWD","FLUAL","FLU","COVID","COVIDSPILL","RABIESAL","RABIES","TURKEY","CWDAL","BATS","PPEREQ","EHD","DARWIN","POPRED","POPPLAN","SURVEY","VACCINE","PREVAL","DIVERSE","CONSEQ","CLIMATE","EDREQ","INFO","HANDSON","ACCESS","SOURCE","SOURCEfill","othSOURCE","INTEREST","FREEINFO","FREEINFOfill","othFREEINFO","TOPICS","TOPICSfill","othTOPICS","QSNCS","AGE","GENDERb","COUNTIEScount","FREEINFOcount","TOPICScount","SOURCEcount","PIGSp","BRUCEp","CWDp","FLUALp","FLUp","COVIDp","COVIDSPILLp","RABIESALp","RABIESp","TURKEYp","CORRECT","CORRECTmed","CORRECT50","CERTAINTY","CERTAINmed","CERTAIN50"
"5/30/2024 17:45","5/30/2024 17:55",100,589,TRUE,"5/30/2024 17:55","R_15tt1PYLmeORFQy",0.899999976,1999,"Yes",36830,"White","No","Female",0,"1","0","0","1","1","1","0","Research","Research","","Academic/Research Institution","Academic/Research Institution","","1","0","0","1","Alive - Not Sedated","Yes","Always (100%)",0,"0",1,0,0,1,1,0,0,0,1,0,"0","1","1","0","1","1","0","1","0","1","1","0","1","1","0","1","1",0,"Academic Publications,Social Media,Conferences","","1",0,"One day in-person conference,Year-long once a month virtual conference","",1,"Rabies,Influenza,Leptospirosis,Raccoon roundworm,CWD,SarsCoV2,One Health","","","0",0,4,2,7,3,1,0,1,1,1,0,1,1,1,0,4,0,0,7,0,1
"5/15/2024 11:04","5/15/2024 11:11",100,412,TRUE,"5/15/2024 11:11","R_2wiz7QrGcVirdmI",0.699999988,1972,"Yes",36804,"Asian","No","Male",1,"1","1","0","1","0","1","1","Research","Research","","Academic/Research Institution","Academic/Research Institution","","0","0","1","1","Alive - Not Sedated","Yes","Always (100%)",0,"0",1,1,1,0,1,1,0,0,1,0,"0","1","1","0","1","1","0","1","0","0","0","1","1","1","0","0","1",0,"State Wildlife Agency,Academic Publications","","1",0,"One day in-person conference","",1,"Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD,SarsCoV2,One Health","","","1",1,1,1,8,2,1,1,1,0,1,1,1,1,1,1,6,1,1,9,1,1
"5/21/2024 14:07","5/21/2024 14:16",100,536,TRUE,"5/21/2024 14:16","R_74l1hIqg2EJQCSl",0.899999976,1993,"Yes",35216,"White","Yes","Male",1,"1","1","0","0","","1","0","Land/Wildlife Management","Land/Wildlife Management","","Private Industry","Private Industry","","1","1","1","1","Alive - Not Sedated","Yes","Always (100%)",0,"1",1,1,1,1,1,1,0,0,1,0,"0","0","0","0","1","0","0","1","1","1","1","0","1","1","0","0","0",1,"State Wildlife Agency,Social Media,News Sources,Conferences","","1",0,"One day in-person conference,One day virtual conference","",0,"Rabies,Influenza,Vector borne diseases,CWD","","","0",1,3,2,4,4,1,1,1,1,1,1,1,1,1,1,7,1,1,10,1,1
"5/21/2024 11:11","5/21/2024 11:18",100,416,TRUE,"5/21/2024 11:18","R_1G0UJr2rbRxatfk",0.899999976,1985,"Yes",36207,"White","No","Male",1,"1","1","0","0","","1","1","Land/Wildlife Management","Land/Wildlife Management","","State/Provincial Government","State/Provincial Government","","1","0","1","1","Dead","Yes","Always (100%)",0,"1",1,1,1,1,1,1,0,0,0,0,"0","1","1","0","0","0","0","1","0","1","1","0","0","1","1","0","1",0,"State Wildlife Agency","","1",0,"One day virtual conference","",0,"CWD,SarsCoV2","","","1",1,5,1,2,1,1,1,1,1,1,1,0,1,1,1,6,1,1,9,1,1
"5/15/2024 13:55","5/15/2024 14:08",100,769,TRUE,"5/15/2024 14:08","R_1Uj3ybWqGuK5bbP",0.800000012,1987,"Yes",35016,"White","No","Male",1,"1","1","0","0","","1","1","Land/Wildlife Management","Land/Wildlife Management","","Federal Government","Federal Government","","1","1","1","1","Dead","Yes","Always (100%)",1,"1",1,1,1,1,1,1,0,0,1,0,"0","0","1","0","0","0","0","1","0","0","0","0","0","1","1","0","1",0,"Other","Colleagues","1",0,"One day in-person conference","",1,"Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD","","","1",1,13,1,6,1,1,1,1,1,1,1,0,1,1,1,7,1,1,9,1,1
"5/15/2024 22:22","5/15/2024 22:31",100,554,TRUE,"5/15/2024 22:31","R_2pY7OU46Jg2FSRm",1,1976,"Yes",36092,"White","No","Male",1,"1","1","0","0","","0","1","Land/Wildlife Management","Land/Wildlife Management","","State/Provincial Government","State/Provincial Government","","1","0","1","1","Dead","Yes","Always (100%)",0,"1",1,0,1,1,1,0,0,0,1,0,"0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0",1,"State Wildlife Agency,Social Media,News Sources,Conferences","","0",0,"One day virtual conference","",0,"Rabies,CWD","","","1",1,6,1,2,4,1,0,1,1,1,0,0,1,1,0,5,0,0,6,0,1
"5/23/2024 8:10","5/23/2024 8:18",100,511,TRUE,"5/23/2024 8:18","R_3erYhs68RZRtqxb",1,1974,"Yes",35768,"White","No","Male",1,"1","1","1","1","0","1","1","Land/Wildlife Management","Land/Wildlife Management","","State/Provincial Government","State/Provincial Government","","1","0","1","1","Dead","Yes","Always (100%)",1,"1",1,1,1,1,1,1,0,0,1,0,"0","0","1","0","1","1","1","1","0","1","1","0","0","1","1","0","1",0,"Academic Publications","","1",0,"One day virtual conference","",1,"Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD,SarsCoV2","","","1",1,16,1,7,1,1,1,1,1,1,1,1,1,1,1,7,1,1,10,1,1
"5/21/2024 11:14","5/21/2024 11:37",100,1352,TRUE,"5/21/2024 11:37","R_3KeVF91KL8u159I",0.899999976,1997,"Yes",35907,"White","No","Male",0,"1","1","0","0","","1","0","Land/Wildlife Management","Land/Wildlife Management","","State/Provincial Government","State/Provincial Government","","1","1","1","1","Dead","Yes","Always (100%)",0,"1",1,1,1,1,1,0,0,0,1,0,"0","1","0","0","0","0","0","1","1","1","1","0","0","1","1","0","1",0,"State Wildlife Agency,I have Not looked for health information","","1",0,"Year-long once a month virtual conference","",0,"Rabies,Influenza,CWD","","","0",1,5,1,3,2,1,1,1,1,1,0,0,1,1,1,6,1,1,8,0,1
"5/31/2024 16:37","5/31/2024 16:47",100,634,TRUE,"5/31/2024 16:47","R_3NLfQynAGxl06eA",0.899999976,1993,"Yes",35096,"White","No","Male",0,"1","1","0","0","","1","0","Land/Wildlife Management","Land/Wildlife Management","","State/Provincial Government","State/Provincial Government","","1","1","1","1","Dead","Yes","Always (100%)",1,"1",1,0,1,1,1,1,0,0,1,0,"0","1","1","0","1","0","0","1","1","1","1","0","0","1","1","0","1",0,"State Wildlife Agency,Academic Publications","","1",0,"Year-long once a month virtual conference","",0,"Rabies,Influenza,Raccoon roundworm,Vector borne diseases","","","0",1,14,1,4,2,1,1,1,1,1,1,0,1,1,1,6,1,1,9,1,1
"5/21/2024 10:54","5/21/2024 11:17",100,1411,TRUE,"5/21/2024 11:17","R_52Oq5ulpq2eBUBP",0.699999988,1982,"Yes",36053,"White","No","Male",0,"1","1","0","1","0","0","0","Land/Wildlife Management","Land/Wildlife Management","","State/Provincial Government","State/Provincial Government","","1","1","1","1","Dead","Yes","Always (100%)",0,"1",1,1,1,1,1,0,0,0,1,0,"0","0","1","0","1","0","1","1","0","0","1","1","0","1","0","0","1",0,"Friends/Family,State Wildlife Agency,Academic Publications","","1",0,"One day in-person conference,One day virtual conference,Year-long once a month virtual conference","",0,"Vector borne diseases,CWD,SarsCoV2","","","1",1,2,3,3,3,1,1,1,1,1,0,1,1,1,1,6,1,1,9,1,1
