"Variable","SampleSize"
"COMPLETE",162
"ID",162
"QSCORE",159
"DOB",162
"AGE",162
"RESIDENT",162
"ZIPCODE",162
"RACE",162
"ETHNICITY",162
"GENDER",162
"INCOME",162
"EDUCATION",162
"DEGREE",162
"TWS",162
"COURSE",162
"COURSETIME",63
"SELFTITLE",162
"BIOTIME",162
"ACTIVITY",162
"AFFILIATE",162
"CONTACT",162
"FIELD",162
"COLLECT",162
"HANDLE",162
"STATE",62
"PPE",122
"PPETIME",99
"COUNTIES",162
"LICENSE",162
"PIGS",162
"BRUCE",162
"CWD",162
"FLUAL",162
"FLU",162
"COVID",162
"COVIDSPILL",162
"RABIESAL",162
"RABIES",162
"TURKEY",162
"CWDAL",158
"BATS",158
"PPEREQ",158
"EHD",158
"DARWIN",158
"POPRED",157
"POPPLAN",157
"SURVEY",157
"VACCINE",157
"PREVAL",156
"DIVERSE",156
"CONSEQ",156
"CLIMATE",156
"EDREQ",156
"INFO",156
"HANDSON",156
"ACCESS",154
"SOURCE",162
"INTEREST",154
"FREEINFO",162
"TOPICS",162
"QSNCS",152
"GENDERb",156
"COUNTIEScount",162
"FREEINFOcount",162
"TOPICScount",162
"SOURCEcount",162
"PIGSp",162
"BRUCEp",162
"CWDp",162
"FLUALp",162
"FLUp",162
"COVIDp",162
"COVIDSPILLp",162
"RABIESALp",162
"RABIESp",162
"TURKEYp",162
"CORRECT",162
"CORRECTmed",162
"CORRECT50",162
"CERTAINTY",162
"CERTAINmed",162
"CERTAIN50",162
