"","cramerschi.output.list","agexcert50","agexcertmed","agexcorr50","agexcorrmed","genxcert50","genxcertmed","genxcorr50","genxcorrmed","incomexcert50","incomexcertmed","incomexcorr50","incomexcorrmed"
"1","chistat",2.93895782350549,2.36638330231137,4.86037841798648,4.86037841798648,8.24995293596391,5.05837956656128,14.3690256014894,14.3690256014894,0.319483508130842,1.93606448445525,2.03593641278638,2.03593641278638
"2","chi.df",1,1,1,1,3,3,3,3,1,1,1,1
"3","chi.pvalue",0.0864665050020687,0.123973976025769,0.0274803080375564,0.0274803080375564,0.0411187430894447,0.167571879456775,0.00244354623337296,0.00244354623337296,0.571918203068879,0.164096484115563,0.153619550050778,0.153619550050778
"4","CramV",0.161,0.1365,0.191,0.191,0.2307,0.1807,0.3045,0.3045,0.06894,0.1249,0.1287,0.1287
"5","zero_zero",10,41,31,31,8,25,23,23,7,35,25,25
"6","zero_one",3,30,17,17,0,3,1,1,6,36,23,23
"7","one_zero",68,37,47,47,35,18,20,20,59,31,41,41
"8","one_one",74,47,60,60,5,2,4,4,83,53,66,66
"9","colzerotot",13,71,48,48,5,43,24,24,13,71,48,48
"10","colonetot",142,84,107,107,101,63,82,82,142,84,107,107
