"","cramerschi.output.list","degreexcert50","degreexcertmed","degreexcorr50","degreexcorrmed","twsxcert50","twsxcertmed","twsxcorr50","twsxcorrmed","coursexcert50","coursexcertmed","coursexcorr50","coursexcorrmed","titlexcert50","titlexcertmed","titlexcorr50","titlexcorrmed","biotimexcert50","biotimexcertmed","biotimexcorr50","biotimexcorrmed","eduxcert50","eduxcertmed","eduxcorr50","eduxcorrmed"
"1","chistat",5.444913667438e-30,9.35056920851282,4.84718953293934,3.84230108460217,5.09474366338995e-30,0.000449814270236808,0.0130582764198418,0.294353443857941,0.830906915854099,6.98247875410357,3.28346924188392,1.03267321054969,2.43004979350753e-29,1.29922497022322,4.35499521190843,2.6227916095962,1.77036360575093,6.02194103196646,8.91291371687108,9.90510549273457,0.474890872548558,7.46946655780091,7.77328494655515,5.20475480114706
"2","chi.df",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2
"3","chi.pvalue",0.999999999999998,0.00222916225304092,0.0276912161767453,0.0499748908081206,0.999999999999998,0.983079074302458,0.909021531203585,0.587444152720628,0.362010415882927,0.00823115259823898,0.0699808568312211,0.309531633362334,0.999999999999996,0.254354840236487,0.0369005629676594,0.105338972508641,0.183337086366513,0.0141290987985768,0.00283161113167145,0.00164820880677218,0.788639920939467,0.02387953939643,0.0205141072027381,0.0740972098990259
"4","CramV",0.001067,0.2609,0.1934,0.1727,0.006124,0.01931,0.02815,0.06112,0.09711,0.2255,0.1599,0.09487,0.008346,0.1072,0.1845,0.1457,0.1302,0.2101,0.2538,0.2657,0.05535,0.2195,0.2239,0.1832
"5","zero_zero",3,25,17,24,11,59,41,68,10,52,35,52,3,19,16,22,9,42,32,48,2,12,9,12
"6","zero_one",10,46,31,55,2,12,7,11,3,19,13,27,10,52,32,57,4,29,16,31,11,58,38,66
"7","one_zero",33,11,19,12,119,71,89,62,85,43,60,43,31,15,18,12,65,32,42,26,14,4,7,4
"8","one_one",109,73,88,64,23,13,18,14,57,41,47,33,111,69,89,64,77,52,65,50,127,80,100,72
"9","colzerotot",13,71,48,79,13,71,48,79,13,71,48,79,13,71,48,79,13,71,48,79,0,1,1,1
"10","colonetot",142,84,107,76,142,84,107,76,142,84,107,76,142,84,107,76,142,84,107,76,1,0,0,0
