"","cramerschi.output.list","contactxppe","contactxppetime","fieldxppe","fieldxppetime","collectxppe","collectxppetime","handlexppe","handlexppetime"
"1","chistat",0.14728770711501,8.74428903158742,1.56173950076485,4.82605459057072,0.552884615384615,1.2547656978576,0.0605008417508415,2.26764666784828
"2","chi.df",1,3,1,3,1,3,1,3
"3","chi.pvalue",0.70114091525231,0.0328911755138906,0.211410705583758,0.184986475769548,0.457141431475983,0.739901383279607,0.805706083796528,0.518747264862575
"4","CramV",0.06417,0.3117,0.138,0.2316,0.0906,0.1181,0.04404,0.1587
"5","zero_zero",3,11,18,24,13,20,12,25
"6","zero_one",22,41,7,28,12,32,13,27
"7","one_zero",16,1,50,1,37,0,48,1
"8","one_one",74,0,40,0,53,1,42,0
"9","colzerotot",25,52,25,52,25,52,25,52
"10","colonetot",90,1,90,1,90,1,90,1
