"ID","AGE.x","AGEnum","RACE.x","GENDER.x","INCOME.x","EDUCATION.x","DEGREE.x","TWS.x","COURSE.x","SELFTITLE.x","LICENSE.x","COURSETIME.x","BIOTIME.x","KNOWcorrect","KNOWcertain","KNOWcorrmed","KNOWcorravg","KNOWcertmed","KNOWcertavg","CWDAL.x","BATS.x","PPEREQ.x","EHD.x","DARWIN.x","POPRED.x","POPPLAN.x","SURVEY.x","VACCINE.x","PREVAL.x","DIVERSE.x","CONSEQ.x","CLIMATE.x","EDREQ.x","INFO.x","HANDSON.x","attCONCERN","attMGMT","attEDU","ATTconcern","ATTmanage","ATTeducate","SDATE.x","STIME.x","EDATE.x","ETIME.x","PROG.x","DURATION.x","FINISHED.x","RECDATE.x","RECTIME.x","QSCORE.x","DOB.x","RESIDENT.x","ZIPCODE.x","RACE.y","ETHNICITY.x","GENDER.y","INCOME.y","EDUCATION.y","DEGREE.y","TWS.y","COURSE.y","COURSETIME.y","SELFTITLE.y","BIOTIME.y","ACTIVITY.x","ACTIVITYfill.x","othACTIVITY.x","AFFILIATE.x","AFFILIATEfill.x","othAFFILIATE.x","CONTACT.x","FIELD.x","COLLECT.x","HANDLE.x","STATE.x","PPE.x","PPETIME.x","COUNTIES.x","LICENSE.y","PIGS.x","BRUCE.x","CWD.x","FLUAL.x","FLU.x","COVID.x","COVIDSPILL.x","RABIESAL.x","RABIES.x","TURKEY.x","CWDAL.y","BATS.y","PPEREQ.y","EHD.y","DARWIN.y","POPRED.y","POPPLAN.y","SURVEY.y","VACCINE.y","PREVAL.y","DIVERSE.y","CONSEQ.y","CLIMATE.y","EDREQ.y","INFO.y","HANDSON.y","ACCESS.x","SOURCE.x","SOURCEfill.x","othSOURCE.x","INTEREST.x","FREEINFO.x","FREEINFOfill.x","othFREEINFO.x","TOPICS.x","TOPICSfill.x","othTOPICS.x","QSNCS.x","AGE.y","AGEbin.x","LOCATION.x","nSOURCE","nCOUNTIES","noSOURCE","PRACscore","PRACrisk","SDATE.y","STIME.y","EDATE.y","ETIME.y","PROG.y","DURATION.y","FINISHED.y","RECDATE.y","RECTIME.y","QSCORE.y","DOB.y","RESIDENT.y","ZIPCODE.y","RACE","ETHNICITY.y","GENDER","INCOME","EDUCATION","DEGREE","TWS","COURSE","COURSETIME","SELFTITLE","BIOTIME","ACTIVITY.y","ACTIVITYfill.y","othACTIVITY.y","AFFILIATE.y","AFFILIATEfill.y","othAFFILIATE.y","CONTACT.y","FIELD.y","COLLECT.y","HANDLE.y","STATE.y","PPE.y","PPETIME.y","COUNTIES.y","LICENSE","PIGS.y","BRUCE.y","CWD.y","FLUAL.y","FLU.y","COVID.y","COVIDSPILL.y","RABIESAL.y","RABIES.y","TURKEY.y","CWDAL","BATS","PPEREQ","EHD","DARWIN","POPRED","POPPLAN","SURVEY","VACCINE","PREVAL","DIVERSE","CONSEQ","CLIMATE","EDREQ","INFO","HANDSON","ACCESS.y","SOURCE.y","SOURCEfill.y","othSOURCE.y","INTEREST.y","FREEINFO.y","FREEINFOfill.y","othFREEINFO.y","TOPICS.y","TOPICSfill.y","othTOPICS.y","QSNCS.y","AGE","AGEbin.y","LOCATION.y","nFREEINFO","nTOPICS"
"R_116DfQmDDJ3kHV1",0,33,1,1,0,1,1,0,0,1,1,NA,0,6,8,0,0,0,0,"Disagree","Agree","Neutral","Disagree","Neutral","Disagree","Neutral","Neutral","Agree","Neutral","Agree","Agree","Disagree","Agree","Disagree","Disagree",3,2,2,1,0,1,"5/22/2024","9:38:00 AM","5/22/2024","9:45:00 AM",100,420,1,"5/22/2024","9:45:00 AM",0.5,1991,"Yes","35811","White","No","Male","$100,001+","College Graduate/BA or BS (4-year degree)","Yes","No","No","","Yes","5-10 years","Land/Wildlife Management","Land/Wildlife Management","","State/Provincial Government","State/Provincial Government","",0,1,0,0,NA,0,"Usually (>75%)",1,"Yes","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","I don't kNow","I don't kNow","Field dress and consumption","Disagree","Agree","Neutral","Disagree","Neutral","Disagree","Neutral","Neutral","Agree","Neutral","Strongly Agree","Agree","Strongly Disagree","Agree","Disagree","Disagree","No",0,"State Wildlife Agency","","Unsure","One day virtual conference","One day virtual conference","","Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD,SarsCoV2,One Health","Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD,SarsCoV2,One Health","","",33,"30–39","Madison County",1,3,1,2,0,"5/22/2024","9:38:00 AM","5/22/2024","9:45:00 AM",100,420,1,"5/22/2024","9:45:00 AM",0.5,1991,"Yes","35811","White","No","Male","$100,001+","College Graduate/BA or BS (4-year degree)","Yes","No","No","","Yes","5-10 years","Land/Wildlife Management","Land/Wildlife Management","","State/Provincial Government","State/Provincial Government","","Rarely",70,"No","No","","Yes","Usually (>75%)","Limestone,Madison,Morgan","Yes","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","I don't kNow","I don't kNow","Field dress and consumption","Disagree","Agree","Neutral","Disagree","Neutral","Disagree","Neutral","Neutral","Agree","Neutral","Strongly Agree","Agree","Strongly Disagree","Agree","Disagree","Disagree","No","State Wildlife Agency","State Wildlife Agency","",0,"One day virtual conference","One day virtual conference","","Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD,SarsCoV2,One Health","Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD,SarsCoV2,One Health","","",33,"30–39","Madison County",1,8
"R_15blYV6wxynsLC1",1,39,1,1,0,1,1,1,0,1,1,NA,1,8,10,1,1,1,1,"Disagree","Agree","Disagree","Disagree","Disagree","Neutral","Disagree","Agree","Agree","Agree","Agree","Disagree","Neutral","Agree","Agree","Disagree",3,3,3,1,0,1,"5/15/2024","2:11:00 AM","5/15/2024","2:18:00 AM",100,438,1,"5/15/2024","2:18:00 AM",0.899999976,1985,"Yes","36804","White","No","Male","$100,001+","Graduate or Professional School","Yes","Yes","No","","Yes","10-20 years","Research","Research","","Academic/Research Institution","Academic/Research Institution","",0,0,0,1,1,0,"Sometimes (25%-75%)",1,"Yes","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","Bites","Incinerate","Strongly Disagree","Strongly Agree","Disagree","Strongly Disagree","Strongly Disagree","Neutral","Strongly Disagree","Agree","Agree","Strongly Agree","Strongly Agree","Disagree","Neutral","Agree","Agree","Disagree","Yes",0,"Academic Publications,News Sources","","Yes","One day virtual conference","One day virtual conference","","Vector borne diseases","Vector borne diseases","","",39,"30–39","Lee County",2,7,1,2,0,"5/15/2024","2:11:00 AM","5/15/2024","2:18:00 AM",100,438,1,"5/15/2024","2:18:00 AM",0.899999976,1985,"Yes","36804","White","No","Male","$100,001+","Graduate or Professional School","Yes","Yes","No","","Yes","10-20 years","Research","Research","","Academic/Research Institution","Academic/Research Institution","","Rarely",10,"No","Yes","Dead","Yes","Sometimes (25%-75%)","Barbour,Bullock,Chambers,Covington,Dallas,Hale,Lee","Yes","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","Bites","Incinerate","Strongly Disagree","Strongly Agree","Disagree","Strongly Disagree","Strongly Disagree","Neutral","Strongly Disagree","Agree","Agree","Strongly Agree","Strongly Agree","Disagree","Neutral","Agree","Agree","Disagree","Yes","Academic Publications,News Sources","Academic Publications,News Sources","",1,"One day virtual conference","One day virtual conference","","Vector borne diseases","Vector borne diseases","","",39,"30–39","Lee County",1,1
"R_15tt1PYLmeORFQy",0,25,1,0,0,0,0,0,1,1,0,1,0,4,7,0,0,0,0,"Disagree","Agree","Agree","Neutral","Disagree","Disagree","Neutral","Agree","Neutral","Agree","Agree","Neutral","Agree","Agree","Neutral","Agree",4,4,1,1,1,0,"5/30/2024","5:45:00 AM","5/30/2024","5:55:00 AM",100,589,1,"5/30/2024","5:55:00 AM",0.899999976,1999,"Yes","36830","White","No","Female","$0-20,000","Some College/AA or AS (2-year degree)","No","No","Yes","<5 years","Yes","<1 year","Research","Research","","Academic/Research Institution","Academic/Research Institution","",1,0,0,1,0,0,"Always (100%)",1,"No","TRUE","I don't kNow","TRUE","TRUE","FALSE","I don't kNow","TRUE","TRUE","Bites","I don't kNow","Disagree","Agree","Agree","Neutral","Strongly Disagree","Disagree","Neutral","Strongly Agree","Neutral","Agree","Strongly Agree","Neutral","Strongly Agree","Agree","Neutral","Agree","Yes",1,"Academic Publications,Social Media,Conferences","","Yes","One day in-person conference,Year-long once a month virtual conference","One day in-person conference,Year-long once a month virtual conference","","Rabies,Influenza,Leptospirosis,Raccoon roundworm,CWD,SarsCoV2,One Health","Rabies,Influenza,Leptospirosis,Raccoon roundworm,CWD,SarsCoV2,One Health","","",25,"20–29","Lee County",3,4,1,3,1,"5/30/2024","5:45:00 AM","5/30/2024","5:55:00 AM",100,589,1,"5/30/2024","5:55:00 AM",0.899999976,1999,"Yes","36830","White","No","Female","$0-20,000","Some College/AA or AS (2-year degree)","No","No","Yes","<5 years","Yes","<1 year","Research","Research","","Academic/Research Institution","Academic/Research Institution","","Weekly",40,"No","Yes","Alive - Not Sedated","Yes","Always (100%)","Lee,Macon,Montgomery,Tallapoosa","No","TRUE","I don't kNow","TRUE","TRUE","FALSE","I don't kNow","TRUE","TRUE","Bites","I don't kNow","Disagree","Agree","Agree","Neutral","Strongly Disagree","Disagree","Neutral","Strongly Agree","Neutral","Agree","Strongly Agree","Neutral","Strongly Agree","Agree","Neutral","Agree","Yes","Academic Publications,Social Media,Conferences","Academic Publications,Social Media,Conferences","",1,"One day in-person conference,Year-long once a month virtual conference","One day in-person conference,Year-long once a month virtual conference","","Rabies,Influenza,Leptospirosis,Raccoon roundworm,CWD,SarsCoV2,One Health","Rabies,Influenza,Leptospirosis,Raccoon roundworm,CWD,SarsCoV2,One Health","","",25,"20–29","Lee County",2,7
"R_17UMLxYj6hrWFYO",0,21,1,0,0,0,0,0,0,1,0,NA,0,5,8,0,0,0,0,"Agree","Neutral","Agree","Agree","Disagree","Disagree","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree",6,5,2,1,1,1,"5/30/2024","9:59:00 AM","5/30/2024","10:04:00 AM",100,282,1,"5/30/2024","10:04:00 AM",0.899999976,2003,"Yes","36832","White","No","Female","$0-20,000","High school graduate/GED","No","No","No","","Yes","<1 year","Research","Research","","Academic/Research Institution","Academic/Research Institution","",1,0,1,1,0,0,"Sometimes (25%-75%)",0,"No","TRUE","I don't kNow","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","Bites","I don't kNow","Agree","Neutral","Strongly Agree","Agree","Disagree","Disagree","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Yes",1,"State Wildlife Agency,Academic Publications,News Sources,Conferences","","Yes","One day in-person conference,One day virtual conference","One day in-person conference,One day virtual conference","","Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD,SarsCoV2,One Health","Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD,SarsCoV2,One Health","","",21,"20–29","Lee County",4,1,1,3,1,"5/30/2024","9:59:00 AM","5/30/2024","10:04:00 AM",100,282,1,"5/30/2024","10:04:00 AM",0.899999976,2003,"Yes","36832","White","No","Female","$0-20,000","High school graduate/GED","No","No","No","","Yes","<1 year","Research","Research","","Academic/Research Institution","Academic/Research Institution","","Weekly",10,"Yes","Yes","Alive - Not Sedated","Yes","Sometimes (25%-75%)","Lee","No","TRUE","I don't kNow","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","Bites","I don't kNow","Agree","Neutral","Strongly Agree","Agree","Disagree","Disagree","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Yes","State Wildlife Agency,Academic Publications,News Sources,Conferences","State Wildlife Agency,Academic Publications,News Sources,Conferences","",1,"One day in-person conference,One day virtual conference","One day in-person conference,One day virtual conference","","Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD,SarsCoV2,One Health","Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD,SarsCoV2,One Health","","",21,"20–29","Lee County",2,8
"R_17X3jWsXTL1iQbD",0,25,1,1,0,1,1,0,0,1,0,NA,0,3,4,0,0,0,0,"Neutral","Agree","Agree","Neutral","Disagree","Disagree","Neutral","Agree","Neutral","Neutral","Disagree","Disagree","Neutral","Neutral","Agree","Agree",1,4,1,0,1,0,"6/8/2024","8:19:00 AM","6/8/2024","8:25:00 AM",100,387,1,"6/8/2024","8:25:00 AM",1,1999,"Yes","36830","White","No","Male","$0-20,000","College Graduate/BA or BS (4-year degree)","Yes","No","No","","Yes","1-5 years","Research","Research","","Academic/Research Institution","Academic/Research Institution","",0,0,0,0,NA,NA,"",0,"No","TRUE","I don't kNow","FALSE","I don't kNow","FALSE","I don't kNow","I don't kNow","I don't kNow","Blood","I don't kNow","Neutral","Agree","Strongly Agree","Neutral","Disagree","Disagree","Neutral","Strongly Agree","Neutral","Neutral","Disagree","Disagree","Neutral","Neutral","Agree","Agree","Yes",0,"I have Not looked for health information","","Yes","One day in-person conference","One day in-person conference","","Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD,SarsCoV2","Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD,SarsCoV2","","",25,"20–29","Lee County",1,1,0,0,0,"6/8/2024","8:19:00 AM","6/8/2024","8:25:00 AM",100,387,1,"6/8/2024","8:25:00 AM",1,1999,"Yes","36830","White","No","Male","$0-20,000","College Graduate/BA or BS (4-year degree)","Yes","No","No","","Yes","1-5 years","Research","Research","","Academic/Research Institution","Academic/Research Institution","","Rarely",30,"No","No","","","","","No","TRUE","I don't kNow","FALSE","I don't kNow","FALSE","I don't kNow","I don't kNow","I don't kNow","Blood","I don't kNow","Neutral","Agree","Strongly Agree","Neutral","Disagree","Disagree","Neutral","Strongly Agree","Neutral","Neutral","Disagree","Disagree","Neutral","Neutral","Agree","Agree","Yes","I have Not looked for health information","I have Not looked for health information","",1,"One day in-person conference","One day in-person conference","","Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD,SarsCoV2","Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD,SarsCoV2","","",25,"20–29","Lee County",1,7
"R_1CJXsOiDy2gHtdc",1,44,1,1,0,1,1,0,0,1,1,NA,0,6,9,0,0,0,1,"Disagree","Agree","Agree","Disagree","Disagree","Disagree","Disagree","Agree","Agree","Neutral","Agree","Disagree","Disagree","Agree","Agree","Disagree",2,5,3,0,1,1,"5/16/2024","9:07:00 AM","5/16/2024","1:36:00 AM",100,16128,1,"5/16/2024","1:36:00 AM",1,1980,"Yes","35967","White","No","Male","$100,001+","Graduate or Professional School","Yes","No","No","","Yes","<1 year","Land/Wildlife Management","Land/Wildlife Management","","Private Industry","Private Industry","",1,0,0,0,NA,1,"",1,"Yes","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","Bites","I don't kNow","Disagree","Agree","Agree","Strongly Disagree","Strongly Disagree","Disagree","Disagree","Agree","Agree","Neutral","Agree","Disagree","Strongly Disagree","Agree","Agree","Disagree","No",0,"State Wildlife Agency","","Yes","One day virtual conference","One day virtual conference","","CWD","CWD","","",44,"40–49","DeKalb County",1,3,1,3,1,"5/16/2024","9:07:00 AM","5/16/2024","1:36:00 AM",100,16128,1,"5/16/2024","1:36:00 AM",1,1980,"Yes","35967","White","No","Male","$100,001+","Graduate or Professional School","Yes","No","No","","Yes","<1 year","Land/Wildlife Management","Land/Wildlife Management","","Private Industry","Private Industry","","Weekly",30,"No","No","","No","","Cherokee,DeKalb,Jackson","Yes","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","Bites","I don't kNow","Disagree","Agree","Agree","Strongly Disagree","Strongly Disagree","Disagree","Disagree","Agree","Agree","Neutral","Agree","Disagree","Strongly Disagree","Agree","Agree","Disagree","No","State Wildlife Agency","State Wildlife Agency","",1,"One day virtual conference","One day virtual conference","","CWD","CWD","","",44,"40–49","DeKalb County",1,1
"R_1CUHv1VQVYXTiOI",1,47,1,1,0,0,0,0,0,0,1,NA,0,3,5,0,0,0,0,"Neutral","Neutral","Agree","Neutral","Neutral","Disagree","Agree","Neutral","Neutral","Agree","Agree","Agree","Disagree","Neutral","Neutral","Agree",3,3,0,1,0,0,"5/22/2024","1:10:00 AM","5/28/2024","1:21:00 AM",100,519064,1,"5/28/2024","1:21:00 AM",0.899999976,1977,"Yes","35677","White","No","Male","$90,001-100,000","High school graduate/GED","No","No","No","","No","<1 year","Land/Wildlife Management","Land/Wildlife Management","","State/Provincial Government","State/Provincial Government","",0,1,0,0,NA,0,"Always (100%)",0,"Yes","TRUE","I don't kNow","FALSE","I don't kNow","I don't kNow","I don't kNow","I don't kNow","TRUE","Bites","Bury","Neutral","Neutral","Agree","Neutral","Neutral","Disagree","Agree","Neutral","Neutral","Agree","Agree","Agree","Strongly Disagree","Neutral","Neutral","Agree","Yes",0,"State Wildlife Agency","","Yes","Year-long once a month virtual conference","Year-long once a month virtual conference","","CWD","CWD","","",47,"40–49","Lauderdale County",1,1,1,1,0,"5/22/2024","1:10:00 AM","5/28/2024","1:21:00 AM",100,519064,1,"5/28/2024","1:21:00 AM",0.899999976,1977,"Yes","35677","White","No","Male","$90,001-100,000","High school graduate/GED","No","No","No","","No","<1 year","Land/Wildlife Management","Land/Wildlife Management","","State/Provincial Government","State/Provincial Government","","Rarely",90,"No","No","","Yes","Always (100%)","Lauderdale","Yes","TRUE","I don't kNow","FALSE","I don't kNow","I don't kNow","I don't kNow","I don't kNow","TRUE","Bites","Bury","Neutral","Neutral","Agree","Neutral","Neutral","Disagree","Agree","Neutral","Neutral","Agree","Agree","Agree","Strongly Disagree","Neutral","Neutral","Agree","Yes","State Wildlife Agency","State Wildlife Agency","",1,"Year-long once a month virtual conference","Year-long once a month virtual conference","","CWD","CWD","","",47,"40–49","Lauderdale County",1,1
"R_1G0UJr2rbRxatfk",1,39,1,1,0,1,1,0,0,1,1,NA,1,6,9,0,0,0,1,"Neutral","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Neutral","Agree","Agree","Neutral","Disagree","Agree","Agree","Neutral",3,3,2,1,0,1,"5/21/2024","11:11:00 AM","5/21/2024","11:18:00 AM",100,416,1,"5/21/2024","11:18:00 AM",0.899999976,1985,"Yes","36207","White","No","Male","$100,001+","College Graduate/BA or BS (4-year degree)","Yes","No","No","","Yes","10-20 years","Land/Wildlife Management","Land/Wildlife Management","","State/Provincial Government","State/Provincial Government","",1,1,1,1,1,0,"Always (100%)",1,"Yes","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","I don't kNow","TRUE","Blood","Place in a dumpster","Neutral","Agree","Agree","Disagree","Agree","Agree","Agree","Strongly Agree","Neutral","Agree","Agree","Neutral","Disagree","Strongly Agree","Agree","Neutral","Yes",0,"State Wildlife Agency","","Yes","One day virtual conference","One day virtual conference","","CWD,SarsCoV2","CWD,SarsCoV2","","",39,"30–39","Calhoun County",1,5,1,5,1,"5/21/2024","11:11:00 AM","5/21/2024","11:18:00 AM",100,416,1,"5/21/2024","11:18:00 AM",0.899999976,1985,"Yes","36207","White","No","Male","$100,001+","College Graduate/BA or BS (4-year degree)","Yes","No","No","","Yes","10-20 years","Land/Wildlife Management","Land/Wildlife Management","","State/Provincial Government","State/Provincial Government","","Monthly",50,"Yes","Yes","Dead","Yes","Always (100%)","Calhoun,Cherokee,Cleburne,DeKalb,Etowah","Yes","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","I don't kNow","TRUE","Blood","Place in a dumpster","Neutral","Agree","Agree","Disagree","Agree","Agree","Agree","Strongly Agree","Neutral","Agree","Agree","Neutral","Disagree","Strongly Agree","Agree","Neutral","Yes","State Wildlife Agency","State Wildlife Agency","",1,"One day virtual conference","One day virtual conference","","CWD,SarsCoV2","CWD,SarsCoV2","","",39,"30–39","Calhoun County",1,2
"R_1J6oLEDqsfiOIWl",1,37,0,0,0,1,1,0,0,0,1,NA,1,7,9,1,1,0,1,"Disagree","Disagree","Agree","Neutral","Disagree","Disagree","Neutral","Agree","Agree","Agree","Agree","Neutral","Agree","Agree","Agree","Neutral",3,5,2,1,1,1,"5/25/2024","11:02:00 AM","5/25/2024","11:13:00 AM",100,658,1,"5/25/2024","11:13:00 AM",NA,1987,"Yes","35810","Black or African American","No","Female","$50,001-60,000","Graduate or Professional School","Yes","No","No","","No","10-20 years","Research","Research","","Academic/Research Institution","Academic/Research Institution","",1,1,0,0,NA,0,"Usually (>75%)",0,"Yes","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","Bites","I don't kNow","Disagree","Disagree","Agree","Neutral","Strongly Disagree","Disagree","Neutral","Strongly Agree","Agree","Agree","Agree","Neutral","Agree","Agree","Agree","Neutral","Yes",1,"State Wildlife Agency,Academic Publications,Conferences","","Yes","One day in-person conference","One day in-person conference","","Other","Other","Wide scope of diseases with a focus on more immediate threats like those carried in wild pigs","",37,"30–39","Madison County",3,2,1,2,0,"5/25/2024","11:02:00 AM","5/25/2024","11:13:00 AM",100,658,1,"5/25/2024","11:13:00 AM",NA,1987,"Yes","35810","Black or African American","No","Female","$50,001-60,000","Graduate or Professional School","Yes","No","No","","No","10-20 years","Research","Research","","Academic/Research Institution","Academic/Research Institution","","Weekly",50,"No","No","","Yes","Usually (>75%)","Jackson,Madison","Yes","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","Bites","I don't kNow","Disagree","Disagree","Agree","Neutral","Strongly Disagree","Disagree","Neutral","Strongly Agree","Agree","Agree","Agree","Neutral","Agree","Agree","Agree","Neutral","Yes","State Wildlife Agency,Academic Publications,Conferences","State Wildlife Agency,Academic Publications,Conferences","",1,"One day in-person conference","One day in-person conference","","Other","Other","Wide scope of diseases with a focus on more immediate threats like those carried in wild pigs","",37,"30–39","Madison County",1,1
"R_1QGzsH0rbJ35jyF",0,21,1,0,0,0,0,0,1,0,0,1,0,4,9,0,0,0,1,"Neutral","Agree","Disagree","Neutral","Disagree","Disagree","Neutral","Agree","Agree","Disagree","Disagree","Disagree","Agree","Agree","Agree","Agree",2,4,2,0,1,1,"8/22/2024","1:36:00 AM","8/22/2024","1:42:00 AM",100,318,1,"8/22/2024","1:42:00 AM",0.699999988,2003,"Yes","36801","White","No","Female","$0-20,000","Some College/AA or AS (2-year degree)","No","No","Yes","<5 years","No","<1 year","Land/Wildlife Management","Land/Wildlife Management","","Other","Other","",0,0,0,0,NA,1,"",0,"No","TRUE","FALSE","TRUE","FALSE","I don't kNow","TRUE","TRUE","TRUE","Bites","Field dress and consumption","Neutral","Agree","Strongly Disagree","Neutral","Strongly Disagree","Disagree","Neutral","Strongly Agree","Strongly Agree","Disagree","Disagree","Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Yes",0,"Other","","Yes","One day virtual conference,Year-long once a month virtual conference","One day virtual conference,Year-long once a month virtual conference","","Other","Other","","",21,"20–29","Lee County",1,1,1,1,0,"8/22/2024","1:36:00 AM","8/22/2024","1:42:00 AM",100,318,1,"8/22/2024","1:42:00 AM",0.699999988,2003,"Yes","36801","White","No","Female","$0-20,000","Some College/AA or AS (2-year degree)","No","No","Yes","<5 years","No","<1 year","Land/Wildlife Management","Land/Wildlife Management","","Other","Other","","Never",10,"No","No","","No","","Lee","No","TRUE","FALSE","TRUE","FALSE","I don't kNow","TRUE","TRUE","TRUE","Bites","Field dress and consumption","Neutral","Agree","Strongly Disagree","Neutral","Strongly Disagree","Disagree","Neutral","Strongly Agree","Strongly Agree","Disagree","Disagree","Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Yes","Other","Other","",1,"One day virtual conference,Year-long once a month virtual conference","One day virtual conference,Year-long once a month virtual conference","","Other","Other","","",21,"20–29","Lee County",2,1
