"","cramerschi.output.list","corrmedxcert50","corrmedxcertmed","corr50xcert50","corr50xcertmed"
"1","chistat",28.2055868829379,61.6162769957622,28.2055868829379,61.6162769957622
"2","chi.df",1,1,1,1
"3","chi.pvalue",1.09089231431155e-07,4.17354226988283e-15,1.09089231431155e-07,4.17354226988283e-15
"4","CramV",0.4518,0.6445,0.4518,0.6445
"5","zero_zero",13,45,13,45
"6","zero_one",0,26,0,26
"7","one_zero",35,3,35,3
"8","one_one",107,81,107,81
"9","colzerotot",13,71,13,71
"10","colonetot",142,84,142,84
