"","cramerschi.output.list","cwdalxcert50","cwdalxcertmed","cwdalxcorr50","cwdalxcorrmed","batsxcert50","batsxcertmed","batsxcorr50","batsxcorrmed","ehdxcert50","ehdxcertmed","ehdxcorr50","ehdxcorrmed","darwinxcert50","darwinxcertmed","darwinxcorr50","darwinxcorrmed","popredxcert50","popredxcertmed","popredxcorr50","popredxcorrmed","popplanxcert50","popplanxcertmed","popplanxcorr50","popplanxcorrmed","surveyxcert50","surveyxcertmed","surveyxcorr50","surveyxcorrmed","vaccinexcert50","vaccinexcertmed","vaccinexcorr50","vaccinexcorrmed","prevalxcert50","prevalxcertmed","prevalxcorr50","prevalxcorrmed","diversexcert50","diversexcertmed","diversexcorr50","diversexcorrmed","conseqxcert50","conseqxcertmed","conseqxcorr50","conseqxcorrmed","climatexcert50","climatexcertmed","climatexcorr50","climatexcorrmed","edreqxcert50","edreqxcertmed","edreqxcorr50","edreqxcorrmed","infoxcert50","infoxcertmed","infoxcorr50","infoxcorrmed"
"1","chistat",0.0011177023597339,5.68759406747774,1.34305004016894,0.889387566790991,0.0006238876175947,0,0.219722071410322,0.166954479257111,0.0869012308436302,2.86822396841948,5.9544657990136,5.99125022280653,0.356368263087232,2.78306829711176,4.04027471932961,3.57594863270267,0.184776270893621,1.80395776098901,2.52997933949221,0.64699854939581,8.93348433318506e-30,0.967633928571429,0.861672794117647,1.20418964597047,1.08547480842382,4.06088877012072,2.28379699150787,6.08604146673315,0.281075610022978,0,0,0.244502934661551,3.11495004605897,3.84674877359442,13.1146741811155,3.88956628624749,0.337614146337268,5.17060957502651e-31,1.28709203359562,9.91059104026918e-31,5.29081279021862e-31,0.229000333875276,4.5397010045758,0.6450971564432,0.431287991147599,0.1564781095056,3.05407797364316,0.0646235129776496,0.225688703087094,5.7102087300221,1.42165771080061,3.64412075362997,3.04129506766876,0.23021104332287,0.789392794490239,0.522465049827226
"2","chi.df",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"3","chi.pvalue",0.973330047055707,0.0170852632539205,0.24649680290807,0.345643325447282,0.980072717026013,1,0.639251767636994,0.682832764285718,0.768154193607359,0.090344517539416,0.0146800505083707,0.0143770090998046,0.550530160278558,0.0952655003366142,0.0444265891035483,0.0586219571144099,0.667300317660889,0.179234756365679,0.11170167883921,0.421187824818637,0.999999999999998,0.325270979974213,0.35327099510858,0.272485908190809,0.29747602436873,0.0438873948190393,0.130731472783183,0.0136254023367629,0.595997089011275,1,1,0.620972607780397,0.0775768575995032,0.0498425190583937,0.000292991760532601,0.0485869692843568,0.561209629905138,0.999999999999999,0.256584544196423,0.999999999999999,0.999999999999999,0.632266058504125,0.0331173760895059,0.421871047503573,0.511357626489082,0.692419954947994,0.0805346929212464,0.799332126783974,0.634739182348188,0.016866533819473,0.233130744643414,0.0562675062983877,0.0811711355442834,0.631367387197855,0.374283794265861,0.469792051963977
"4","CramV",0.04007,0.2151,0.1168,0.0977,0.02564,0.006157,0.05237,0.0465,0.06469,0.1607,0.2231,0.222,0.07781,0.1522,0.1812,0.1703,0.05881,0.123,0.1442,0.07902,0.01676,0.09449,0.09095,0.1037,0.1378,0.1943,0.1552,0.2311,0.06699,0.01247,0.009147,0.05371,0.1687,0.1743,0.3112,0.1752,0.07266,0.001141,0.1081,0.01007,0.02629,0.05438,0.1908,0.08095,0.07759,0.04586,0.1575,0.03426,0.07244,0.2147,0.1179,0.1753,0.1677,0.05335,0.08779,0.07324
"5","zero_zero",11,57,40,66,6,35,26,37,11,60,39,65,4,19,15,21,5,29,18,34,9,50,35,55,2,7,5,8,8,35,24,37,9,36,31,39,3,24,20,26,10,53,41,59,5,34,19,38,3,16,10,16,8,23,20,30
"6","zero_one",2,13,8,11,7,35,22,40,2,10,9,12,9,51,33,56,8,41,30,43,4,20,13,22,11,63,43,69,5,35,24,40,4,34,17,38,10,46,28,51,3,17,7,18,8,36,29,39,10,54,38,61,5,47,28,47
"7","one_zero",123,77,94,68,70,41,50,39,126,77,98,72,27,12,16,10,67,43,54,38,91,50,65,45,6,1,3,0,68,41,52,39,54,27,32,24,48,27,31,25,99,56,68,50,71,42,57,38,19,6,12,6,45,30,33,23
"8","one_one",15,4,9,6,68,40,53,35,12,4,5,2,111,69,87,64,70,37,48,35,46,30,37,28,131,79,99,73,69,39,50,34,82,52,69,48,88,52,70,47,37,23,33,22,65,37,44,34,117,73,89,66,91,49,68,49
"9","colzerotot",13,70,48,77,13,70,48,77,13,70,48,77,13,70,48,77,13,70,48,77,13,70,48,77,13,70,48,77,13,70,48,77,13,70,48,77,13,70,48,77,13,70,48,77,13,70,48,77,13,70,48,77,13,70,48,77
"10","colonetot",138,81,103,74,138,81,103,74,138,81,103,74,138,81,103,74,137,80,102,73,137,80,102,73,137,80,102,73,137,80,102,73,136,79,101,72,136,79,101,72,136,79,101,72,136,79,101,72,136,79,101,72,136,79,101,72
