"term","estimate","std.error","statistic","coef.type","p.value","attitude_item","significant"
"KNOWLEDGE_SCORE",0.046,0.15267094244222,0.302722636240269,"coefficient",0.7621,"POPRED_A",""
"CONFIDENCE_SCORE",0.118,0.170895459000028,0.687943707303493,"coefficient",0.4915,"POPRED_A",""
"DEMO_EDU_SCORE",-0.164,0.241969138252802,-0.67786827485452,"coefficient",0.4979,"POPRED_A",""
"DEMO_EXP_SCORE",0.023,0.234050093444719,0.0969057597375543,"coefficient",0.9228,"POPRED_A",""
"GENDER_BIN",-0.084,0.371388186628211,-0.225174949167909,"coefficient",0.8218,"POPRED_A",""
"AGE_BIN",0.508,0.362640186530293,1.39953183906516,"coefficient",0.1617,"POPRED_A",""
"KNOWLEDGE_SCORE",-0.114,0.156484622973778,-0.726749248059577,"coefficient",0.4674,"POPPLAN_A",""
"CONFIDENCE_SCORE",-0.075,0.178021308387701,-0.419827665534383,"coefficient",0.6746,"POPPLAN_A",""
"DEMO_EDU_SCORE",0.034,0.248061522255457,0.137319688681849,"coefficient",0.8908,"POPPLAN_A",""
"DEMO_EXP_SCORE",0.58,0.239792379507212,2.42009478067729,"coefficient",0.0155,"POPPLAN_A","*"
"GENDER_BIN",-0.249,0.373405167153746,-0.667929757440699,"coefficient",0.5042,"POPPLAN_A",""
"AGE_BIN",0.064,0.366266589029197,0.174458565101101,"coefficient",0.8615,"POPPLAN_A",""
"KNOWLEDGE_SCORE",-0.037,0.180687953562743,-0.206249836968641,"coefficient",0.8366,"SURVEY_A",""
"CONFIDENCE_SCORE",-0.301,0.202691507726201,-1.48321690357843,"coefficient",0.138,"SURVEY_A",""
"DEMO_EDU_SCORE",0.505,0.268988378650382,1.87642055936878,"coefficient",0.0606,"SURVEY_A",""
"DEMO_EXP_SCORE",-0.299,0.256143234677187,-1.1656020277273,"coefficient",0.2438,"SURVEY_A",""
"GENDER_BIN",-0.46,0.425991483696918,-1.08000615676902,"coefficient",0.2801,"SURVEY_A",""
"AGE_BIN",-0.117,0.403036621493472,-0.290244988531278,"coefficient",0.7716,"SURVEY_A",""
"KNOWLEDGE_SCORE",-0.213,0.159126993631713,-1.34127356654078,"coefficient",0.1798,"VACCINE_A",""
"CONFIDENCE_SCORE",-0.284,0.181648486937076,-1.56562426660501,"coefficient",0.1174,"VACCINE_A",""
"DEMO_EDU_SCORE",0.187,0.243043758941546,0.767674545096571,"coefficient",0.4427,"VACCINE_A",""
"DEMO_EXP_SCORE",-0.267,0.231407617642791,-1.1526230688262,"coefficient",0.2491,"VACCINE_A",""
"GENDER_BIN",-0.569,0.394335541554311,-1.44378995408563,"coefficient",0.1488,"VACCINE_A",""
