"SDATE","STIME","EDATE","ETIME","PROG","DURATION","FINISHED","RECDATE","RECTIME","ID","QSCORE","DOB","RESIDENT","ZIPCODE","RACE","ETHNICITY","GENDER","INCOME","EDUCATION","DEGREE","TWS","COURSE","COURSETIME","SELFTITLE","BIOTIME","ACTIVITY","ACTIVITYfill","othACTIVITY","AFFILIATE","AFFILIATEfill","othAFFILIATE","CONTACT","FIELD","COLLECT","HANDLE","STATE","PPE","PPETIME","COUNTIES","LICENSE","PIGS","BRUCE","CWD","FLUAL","FLU","COVID","COVIDSPILL","RABIESAL","RABIES","TURKEY","CWDAL","BATS","PPEREQ","EHD","DARWIN","POPRED","POPPLAN","SURVEY","VACCINE","PREVAL","DIVERSE","CONSEQ","CLIMATE","EDREQ","INFO","HANDSON","ACCESS","SOURCE","SOURCEfill","othSOURCE","INTEREST","FREEINFO","FREEINFOfill","othFREEINFO","TOPICS","TOPICSfill","othTOPICS","QSNCS","DURATIONmin","AGEnum","AGE","AGEint","LOCATION","AGEbin","RACEbin","GENDERbin","INCOMEbin","EDUCATIONbin","DEGREEbin","TWSbin","COURSEbin","SELFTITLEbin","LICENSEbin","COURSETIMEbin","BIOTIMEbin","PIGScorr","PIGScert","BRUCEcorr","BRUCEcert","CWDcorr","CWDcert","FLUALcorr","FLUALcert","FLUcorr","FLUcert","COVIDcorr","COVIDcert","COVIDSPILLcorr","COVIDSPILLcert","RABIESALcorr","RABIESALcert","RABIEScorr","RABIEScert","TURKEYcorr","TURKEYcert","CORRECTnum","CERTAINnum","CORRECTmed","CORRECTavg","CERTAINmed","CERTAINavg","CWDALatt","BATSatt","PPEREQatt","EHDatt","POPPLANatt","SURVEYatt","VACCINEatt","PREVALatt","DIVERSEatt","CONSEQatt","CLIMATEatt","EDREQatt","INFOatt","DARWINatt","POPREDatt","HANDSONatt","CWDALattnum","BATSattnum","PPEREQattnum","EHDattnum","POPPLANattnum","SURVEYattnum","VACCINEattnum","PREVALattnum","DIVERSEattnum","CONSEQattnum","CLIMATEattnum","EDREQattnum","INFOattnum","DARWINattnum","POPREDattnum","HANDSONattnum","ATTITUDEnum","ATTITUDEbin","FAVnum","NEUTRALnum","UNFAVnum","FAVbin","NEUTRALbin","UNFAVbin","nCOUNTIES","nCOUNTIESbin","COLLECTbin","HANDLEbin","PPEbin","FIELDbin","STATEbin","CONTACTbin","COUNTIESbin","PRACnum","PRACbin","nSOURCE","nFREEINFO","EDREQedu","INFOedu","HANDSONedu","EDREQedunum","HANDSONedunum","INFOedunum","nTOPICS","FREEINFOedu","TOPICSedu","SOURCEedu","ACCESSedu","INTERESTedu","INFOnum","INFObin"
"5/30/2024","5:45:00 AM","5/30/2024","5:55:00 AM",100,589,TRUE,"5/30/2024","5:55:00 AM","R_15tt1PYLmeORFQy",0.899999976,1999,"Yes","36830","White","No","Female","$0-20,000","Some College/AA or AS (2-year degree)","No","No","Yes","<5 years","Yes","<1 year","Research","Research","","Academic/Research Institution","Academic/Research Institution","","Weekly",40,"No","Yes","Alive - Not Sedated","Yes","Always (100%)","Lee,Macon,Montgomery,Tallapoosa","No","true","i don't know","true","true","false","i don't know","true","true","bites","i don't know","Disagree","Agree","Agree","Neutral","Strongly Disagree","Disagree","Neutral","Strongly Agree","Neutral","Agree","Strongly Agree","Neutral","Strongly Agree","Agree","Neutral","Agree","Yes","Academic Publications,Social Media,Conferences","Academic Publications,Social Media,Conferences","","Yes","One day in-person conference,Year-long once a month virtual conference","One day in-person conference,Year-long once a month virtual conference","","Rabies,Influenza,Leptospirosis,Raccoon roundworm,CWD,SarsCoV2,One Health","Rabies,Influenza,Leptospirosis,Raccoon roundworm,CWD,SarsCoV2,One Health","","",9.81666666666667,25,25,"20–29","Lee County",0,1,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,4,10,0,0,0,0,"Unfavorable","Favorable","Favorable","Neutral","Neutral","Favorable","Neutral","Favorable","Favorable","Neutral","Favorable","Favorable","Neutral","Favorable","Favorable","Unfavorable",0,2,2,1,1,2,1,2,2,1,2,2,1,2,2,0,23,1,9,5,2,1,1,0,4,4,0,1,0,0,1,1,1,3,1,3,2,"More","Neutral","Less",2,0,1,7,1,1,1,1,2,9,1
"5/15/2024","11:04:00 AM","5/15/2024","11:11:00 AM",100,412,TRUE,"5/15/2024","11:11:00 AM","R_2wiz7QrGcVirdmI",0.699999988,1972,"Yes","36804","Asian","No","Male","$80,001-90,000","Graduate or Professional School","Yes","No","Yes",">10 years","Yes","10-20 years","Research","Research","","Academic/Research Institution","Academic/Research Institution","","Rarely",20,"Yes","Yes","Alive - Not Sedated","Yes","Always (100%)","Lee","No","true","false","false","i don't know","false","true","true","true","bites","place in a dumpster","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Neutral","Strongly Agree","Neutral","Strongly Disagree","Neutral","Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Disagree","Yes","State Wildlife Agency,Academic Publications","State Wildlife Agency,Academic Publications","","Yes","One day in-person conference","One day in-person conference","","Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD,SarsCoV2,One Health","Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD,SarsCoV2,One Health","","",6.86666666666667,52,52,"50–59","Lee County",1,0,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1,6,10,0,0,0,0,"Unfavorable","Favorable","Favorable","Unfavorable","Neutral","Favorable","Neutral","Unfavorable","Neutral","Favorable","Favorable","Favorable","Unfavorable","Favorable","Favorable","Favorable",0,2,2,0,1,2,1,0,1,2,2,2,0,2,2,2,21,1,9,3,4,1,0,0,1,1,1,1,0,0,1,0,0,2,0,2,1,"More","Less","More",2,2,2,8,1,1,0,1,2,11,1
"5/21/2024","2:07:00 AM","5/21/2024","2:16:00 AM",100,536,TRUE,"5/21/2024","2:16:00 AM","R_74l1hIqg2EJQCSl",0.899999976,1993,"Yes","35216","White","Yes","Male","$80,001-90,000","College Graduate/BA or BS (4-year degree)","Yes","No","No","","Yes","1-5 years","Land/Wildlife Management","Land/Wildlife Management","","Private Industry","Private Industry","","Monthly",70,"Yes","Yes","Alive - Not Sedated","Yes","Always (100%)","Baldwin,Jackson,Winston","Yes","true","false","false","true","false","true","true","true","bites","place in a dumpster","Strongly Disagree","Neutral","Disagree","Neutral","Strongly Disagree","Agree","Agree","Strongly Agree","Agree","Agree","Strongly Agree","Disagree","Agree","Agree","Neutral","Neutral","No","State Wildlife Agency,Social Media,News Sources,Conferences","State Wildlife Agency,Social Media,News Sources,Conferences","","Yes","One day in-person conference,One day virtual conference","One day in-person conference,One day virtual conference","","Rabies,Influenza,Vector borne diseases,CWD","Rabies,Influenza,Vector borne diseases,CWD","","",8.93333333333333,31,31,"30–39","Jefferson County",0,1,1,0,1,1,0,0,1,1,NA,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,7,10,1,1,0,0,"Unfavorable","Neutral","Unfavorable","Neutral","Favorable","Favorable","Favorable","Favorable","Favorable","Unfavorable","Favorable","Favorable","Neutral","Favorable","Unfavorable","Neutral",0,1,0,1,2,2,2,2,2,0,2,2,1,2,0,1,20,0,8,4,4,0,1,0,3,3,1,1,0,1,1,1,0,4,1,4,2,"More","Neutral","Neutral",2,1,1,4,1,1,1,0,2,9,1
"5/21/2024","11:11:00 AM","5/21/2024","11:18:00 AM",100,416,TRUE,"5/21/2024","11:18:00 AM","R_1G0UJr2rbRxatfk",0.899999976,1985,"Yes","36207","White","No","Male","$100,001+","College Graduate/BA or BS (4-year degree)","Yes","No","No","","Yes","10-20 years","Land/Wildlife Management","Land/Wildlife Management","","State/Provincial Government","State/Provincial Government","","Monthly",50,"Yes","Yes","Dead","Yes","Always (100%)","Calhoun,Cherokee,Cleburne,DeKalb,Etowah","Yes","true","false","false","true","false","true","i don't know","true","blood","place in a dumpster","Neutral","Agree","Agree","Disagree","Agree","Agree","Agree","Strongly Agree","Neutral","Agree","Agree","Neutral","Disagree","Strongly Agree","Agree","Neutral","Yes","State Wildlife Agency","State Wildlife Agency","","Yes","One day virtual conference","One day virtual conference","","CWD,SarsCoV2","CWD,SarsCoV2","","",6.93333333333333,39,39,"30–39","Calhoun County",1,1,1,0,1,1,0,0,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,6,10,0,0,0,0,"Neutral","Favorable","Favorable","Unfavorable","Favorable","Favorable","Neutral","Favorable","Favorable","Neutral","Unfavorable","Favorable","Favorable","Unfavorable","Unfavorable","Neutral",1,2,2,0,2,2,1,2,2,1,0,2,2,0,0,1,20,0,8,4,4,0,1,0,5,5,1,1,0,1,0,1,1,5,1,1,1,"More","More","Neutral",2,1,0,2,1,0,0,1,2,7,0
"5/15/2024","1:55:00 AM","5/15/2024","2:08:00 AM",100,769,TRUE,"5/15/2024","2:08:00 AM","R_1Uj3ybWqGuK5bbP",0.800000012,1987,"Yes","35016","White","No","Male","$90,001-100,000","College Graduate/BA or BS (4-year degree)","Yes","No","No","","Yes","10-20 years","Land/Wildlife Management","Land/Wildlife Management","","Federal Government","Federal Government","","Daily",60,"Yes","Yes","Dead","Yes","Always (100%)","Baldwin,Blount,Cullman,DeKalb,Etowah,Jackson,Jefferson,Limestone,Madison,Marshall,Morgan,Saint Clair,Tuscaloosa","Yes","true","false","false","true","false","true","i don't know","true","bites","ignore","Strongly Disagree","Neutral","Agree","Strongly Disagree","Neutral","Neutral","Neutral","Agree","Disagree","Disagree","Disagree","Strongly Disagree","Disagree","Agree","Agree","Disagree","Yes","Other","Other","Colleagues","Yes","One day in-person conference","One day in-person conference","","Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD","Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD","","",12.8166666666667,37,37,"30–39","Marshall County",1,1,1,0,1,1,0,0,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,7,10,1,1,0,0,"Unfavorable","Neutral","Favorable","Unfavorable","Neutral","Favorable","Unfavorable","Unfavorable","Unfavorable","Unfavorable","Unfavorable","Favorable","Favorable","Neutral","Neutral","Favorable",0,1,2,0,1,2,0,0,0,0,0,2,2,1,1,2,14,0,5,4,7,0,1,1,13,13,1,1,0,1,0,1,1,5,1,1,1,"More","More","More",2,2,0,6,1,1,0,1,2,9,1
"5/15/2024","10:22:00 AM","5/15/2024","10:31:00 AM",100,554,TRUE,"5/15/2024","10:31:00 AM","R_2pY7OU46Jg2FSRm",1,1976,"Yes","36092","White","No","Male","$100,001+","Graduate or Professional School","Yes","No","No","","No","5-10 years","Land/Wildlife Management","Land/Wildlife Management","","State/Provincial Government","State/Provincial Government","","Monthly",50,"Yes","Yes","Dead","Yes","Always (100%)","Autauga,Butler,Elmore,Fayette,Lauderdale,Montgomery","Yes","true","i don't know","false","true","false","i don't know","i don't know","true","bites","i don't know","Neutral","Neutral","Neutral","Neutral","Neutral","Agree","Disagree","Agree","Agree","Neutral","Neutral","Neutral","Strongly Disagree","Neutral","Neutral","Neutral","No","State Wildlife Agency,Social Media,News Sources,Conferences","State Wildlife Agency,Social Media,News Sources,Conferences","","Unsure","One day virtual conference","One day virtual conference","","Rabies,CWD","Rabies,CWD","","",9.23333333333333,48,48,"40–49","Elmore County",1,1,1,0,1,1,0,0,0,1,NA,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,5,10,0,0,0,0,"Neutral","Neutral","Neutral","Neutral","Unfavorable","Favorable","Favorable","Neutral","Neutral","Neutral","Unfavorable","Neutral","Neutral","Neutral","Unfavorable","Neutral",1,1,1,1,0,2,2,1,1,1,0,1,1,1,0,1,15,0,2,11,3,0,1,0,6,6,1,1,0,1,0,1,1,5,1,4,1,"Neutral","Neutral","Neutral",1,1,1,2,1,0,1,0,1,6,0
"5/23/2024","8:10:00 AM","5/23/2024","8:18:00 AM",100,511,TRUE,"5/23/2024","8:18:00 AM","R_3erYhs68RZRtqxb",1,1974,"Yes","35768","White","No","Male","$100,001+","Graduate or Professional School","Yes","Yes","Yes",">10 years","Yes",">20 years","Land/Wildlife Management","Land/Wildlife Management","","State/Provincial Government","State/Provincial Government","","Weekly",30,"Yes","Yes","Dead","Yes","Always (100%)","Blount,Colbert,Cullman,DeKalb,Fayette,Franklin,Jackson,Lamar,Lauderdale,Lawrence,Limestone,Madison,Marion,Marshall,Walker,Winston","Yes","true","false","false","true","false","true","true","true","bites","bury","Disagree","Disagree","Agree","Strongly Disagree","Disagree","Disagree","Disagree","Agree","Neutral","Agree","Agree","Neutral","Neutral","Strongly Agree","Strongly Agree","Neutral","Yes","Academic Publications","Academic Publications","","Yes","One day virtual conference","One day virtual conference","","Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD,SarsCoV2","Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD,SarsCoV2","","",8.51666666666667,50,50,"50–59","Jackson County",1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,7,10,1,1,0,0,"Unfavorable","Unfavorable","Favorable","Unfavorable","Unfavorable","Favorable","Neutral","Favorable","Favorable","Neutral","Neutral","Favorable","Favorable","Favorable","Favorable","Neutral",0,0,2,0,0,2,1,2,2,1,1,2,2,2,2,1,20,0,8,4,4,0,1,0,16,16,1,1,0,0,0,1,1,4,1,1,1,"More","More","Neutral",2,1,0,7,1,1,0,1,2,8,0
"5/21/2024","11:14:00 AM","5/21/2024","11:37:00 AM",100,1352,TRUE,"5/21/2024","11:37:00 AM","R_3KeVF91KL8u159I",0.899999976,1997,"Yes","35907","White","No","Male","$0-20,000","College Graduate/BA or BS (4-year degree)","Yes","No","No","","Yes","1-5 years","Land/Wildlife Management","Land/Wildlife Management","","State/Provincial Government","State/Provincial Government","","Weekly",80,"Yes","Yes","Dead","Yes","Always (100%)","Blount,Calhoun,Cherokee,Cleburne,DeKalb","Yes","true","false","false","true","false","i don't know","i don't know","true","bites","place in a dumpster","Neutral","Strongly Agree","Neutral","Disagree","Neutral","Neutral","Agree","Agree","Agree","Agree","Agree","Neutral","Neutral","Strongly Agree","Agree","Neutral","Yes","State Wildlife Agency,I have Not looked for health information","State Wildlife Agency,I have Not looked for health information","","Yes","Year-long once a month virtual conference","Year-long once a month virtual conference","","Rabies,Influenza,CWD","Rabies,Influenza,CWD","","",22.5333333333333,27,27,"20–29","Etowah County",0,1,1,0,1,1,0,0,1,1,NA,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,6,10,0,0,0,0,"Neutral","Favorable","Neutral","Unfavorable","Favorable","Favorable","Favorable","Favorable","Favorable","Neutral","Neutral","Favorable","Favorable","Neutral","Neutral","Neutral",1,2,1,0,2,2,2,2,2,1,1,2,2,1,1,1,23,1,8,7,1,0,1,0,5,5,1,1,0,1,0,1,1,5,1,2,1,"More","More","Neutral",2,1,0,3,1,0,0,1,2,7,0
"5/31/2024","4:37:00 AM","5/31/2024","4:47:00 AM",100,634,TRUE,"5/31/2024","4:47:00 AM","R_3NLfQynAGxl06eA",0.899999976,1993,"Yes","35096","White","No","Male","$50,001-60,000","College Graduate/BA or BS (4-year degree)","Yes","No","No","","Yes","1-5 years","Land/Wildlife Management","Land/Wildlife Management","","State/Provincial Government","State/Provincial Government","","Monthly",60,"Yes","Yes","Dead","Yes","Always (100%)","Calhoun,Chambers,Cherokee,Clay,Cleburne,Coosa,DeKalb,Etowah,Jackson,Marshall,Randolph,Saint Clair,Talladega,Tallapoosa","Yes","true","true","false","true","false","true","i don't know","true","bites","bury","Disagree","Agree","Strongly Agree","Disagree","Disagree","Neutral","Agree","Agree","Agree","Agree","Strongly Agree","Neutral","Disagree","Strongly Agree","Agree","Disagree","Yes","State Wildlife Agency,Academic Publications","State Wildlife Agency,Academic Publications","","Yes","Year-long once a month virtual conference","Year-long once a month virtual conference","","Rabies,Influenza,Raccoon roundworm,Vector borne diseases","Rabies,Influenza,Raccoon roundworm,Vector borne diseases","","",10.5666666666667,31,31,"30–39","Talladega County",0,1,1,0,1,1,0,0,1,1,NA,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,6,10,0,0,0,0,"Unfavorable","Favorable","Favorable","Unfavorable","Favorable","Favorable","Favorable","Favorable","Favorable","Neutral","Unfavorable","Favorable","Favorable","Favorable","Neutral","Favorable",0,2,2,0,2,2,2,2,2,1,0,2,2,2,1,2,24,1,11,2,3,1,0,0,14,14,1,1,0,1,0,1,1,5,1,2,1,"More","More","More",2,2,0,4,1,1,0,1,2,9,1
"5/21/2024","10:54:00 AM","5/21/2024","11:17:00 AM",100,1411,TRUE,"5/21/2024","11:17:00 AM","R_52Oq5ulpq2eBUBP",0.699999988,1982,"Yes","36053","White","No","Male","$60,001-70,000","College Graduate/BA or BS (4-year degree)","Yes","No","Yes",">10 years","No","1-5 years","Land/Wildlife Management","Land/Wildlife Management","","State/Provincial Government","State/Provincial Government","","Weekly",60,"Yes","Yes","Dead","Yes","Always (100%)","Barbour,Bullock","Yes","true","false","false","true","false","i don't know","true","true","bites","ignore","Neutral","Neutral","Agree","Disagree","Disagree","Agree","Disagree","Strongly Agree","Neutral","Neutral","Agree","Agree","Disagree","Strongly Agree","Neutral","Neutral","Yes","Friends/Family,State Wildlife Agency,Academic Publications","Friends/Family,State Wildlife Agency,Academic Publications","","Yes","One day in-person conference,One day virtual conference,Year-long once a month virtual conference","One day in-person conference,One day virtual conference,Year-long once a month virtual conference","","Vector borne diseases,CWD,SarsCoV2","Vector borne diseases,CWD,SarsCoV2","","",23.5166666666667,42,42,"40–49","Bullock County",1,1,1,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,6,10,0,0,0,0,"Neutral","Neutral","Favorable","Unfavorable","Unfavorable","Favorable","Neutral","Neutral","Favorable","Favorable","Unfavorable","Favorable","Neutral","Favorable","Unfavorable","Neutral",1,1,2,0,0,2,1,1,2,2,0,2,1,2,0,1,18,0,6,6,4,0,1,0,2,2,1,1,0,1,0,1,0,4,1,3,3,"More","Neutral","Neutral",2,1,1,3,1,0,1,1,2,9,1
