sdate,stime,edate,etime,prog,duration,finished,emonth,id,qscore,dob,resident,zipcode,race,ethnicity,gender,income,education,degree,tws,course,coursetime,selftitle,biotime,activity,activit_yfill,oth_activity,affiliate,affiliat_efill,oth_affiliate,contact,field,collect,handle,state,ppe,ppetime,counties,license,pigs,bruce,cwd,flual,flu,covid,covidspill,rabiesal,rabies,turkey,cwdal,bats,ppereq,ehd,darwin,popred,popplan,survey,vaccine,preval,diverse,conseq,climate,edreq,info,handson,access,source,sourc_efill,oth_source,interest,freeinfo,freeinf_ofill,oth_freeinfo,topics,topic_sfill,oth_topics,qsncs,age,age_bin,race_bin,gender_bin,income_bin,education_bin,degree_bin,tws_bin,pigscorr,brucecorr,cwdcorr,flualcorr,flucorr,covidcorr,covidspillcorr,rabiesalcorr,rabiescorr,turkeycorr,pigscert,brucecert,cwdcert,flualcert,flucert,covidcert,covidspillcert,rabiesalcert,rabiescert,turkeycert,cwdal_num,bats_num,ppereq_num,ehd_num,darwin_num,popred_num,popplan_num,survey_num,vaccine_num,preval_num,diverse_num,conseq_num,climate_num,popred_rev,popplan_rev,darwin_rev,ehd_rev,cwdal_rev,bats_rev,ppereq_rev,survey_rev,vaccine_rev,preval_rev,diverse_rev,conseq_rev,climate_rev,cwdal_cat,bats_cat,ppereq_cat,ehd_cat,darwin_cat,popred_cat,popplan_cat,survey_cat,vaccine_cat,preval_cat,diverse_cat,conseq_cat,climate_cat,contact_bin,field_bin,collect_bin,state_bin,ppe_bin,practice_score,edreq_num,info_num,handson_num,interest_score
5/30/2024,5:45:00 AM,5/30/2024,5:55:00 AM,100,589,TRUE,5,R_15tt1PYLmeORFQy,0.899999976,1999,Yes,36830,White,No,Female,"$0-20,000",Some College/AA or AS (2-year degree),No,No,Yes,<5 years,Yes,<1 year,Research,Research,,Academic/Research Institution,Academic/Research Institution,,Weekly,40,No,Yes,Alive - Not Sedated,Yes,Always (100%),"Lee,Macon,Montgomery,Tallapoosa",No,TRUE,I don't know,TRUE,TRUE,FALSE,I don't know,TRUE,TRUE,Bites,I don't know,Disagree,Agree,Agree,Neutral,Strongly Disagree,Disagree,Neutral,Strongly Agree,Neutral,Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Neutral,Agree,Yes,"Academic Publications,Social Media,Conferences","Academic Publications,Social Media,Conferences",,Yes,"One day in-person conference,Year-long once a month virtual conference","One day in-person conference,Year-long once a month virtual conference",,"Rabies,Influenza,Leptospirosis,Raccoon roundworm,CWD,SarsCoV2,One Health","Rabies,Influenza,Leptospirosis,Raccoon roundworm,CWD,SarsCoV2,One Health",,,25,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,2,4,4,3,1,2,3,5,3,4,5,3,5,4,3,5,3,2,4,4,5,3,4,5,3,5,Unfavorable,Favorable,Favorable,Neutral,Favorable,Favorable,Neutral,Favorable,Neutral,Favorable,Favorable,Neutral,Favorable,1,1,0,NA,1,3,4,3,4,3.6666666666666665
5/15/2024,11:04:00 AM,5/15/2024,11:11:00 AM,100,412,TRUE,5,R_2wiz7QrGcVirdmI,0.699999988,1972,Yes,36804,Asian,No,Male,"$80,001-90,000",Graduate or Professional School,Yes,No,Yes,>10 years,Yes,10-20 years,Research,Research,,Academic/Research Institution,Academic/Research Institution,,Rarely,20,Yes,Yes,Alive - Not Sedated,Yes,Always (100%),Lee,No,TRUE,FALSE,FALSE,I don't know,FALSE,TRUE,TRUE,TRUE,Bites,Place in a dumpster,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Agree,Neutral,Strongly Disagree,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Yes,"State Wildlife Agency,Academic Publications","State Wildlife Agency,Academic Publications",,Yes,One day in-person conference,One day in-person conference,,"Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD,SarsCoV2,One Health","Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD,SarsCoV2,One Health",,,52,1,0,1,1,1,1,0,1,1,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,1,0,1,5,5,1,1,1,3,5,3,1,3,4,5,5,3,5,5,1,5,5,5,3,1,3,4,5,Unfavorable,Favorable,Favorable,Favorable,Favorable,Favorable,Neutral,Favorable,Neutral,Unfavorable,Neutral,Favorable,Favorable,1,1,1,NA,1,4,5,1,2,2.6666666666666665
5/21/2024,2:07:00 AM,5/21/2024,2:16:00 AM,100,536,TRUE,5,R_74l1hIqg2EJQCSl,0.899999976,1993,Yes,35216,White,Yes,Male,"$80,001-90,000",College Graduate/BA or BS (4-year degree),Yes,No,No,,Yes,1-5 years,Land/Wildlife Management,Land/Wildlife Management,,Private Industry,Private Industry,,Monthly,70,Yes,Yes,Alive - Not Sedated,Yes,Always (100%),"Baldwin,Jackson,Winston",Yes,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Bites,Place in a dumpster,Strongly Disagree,Neutral,Disagree,Neutral,Strongly Disagree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Disagree,Agree,Agree,Neutral,Neutral,No,"State Wildlife Agency,Social Media,News Sources,Conferences","State Wildlife Agency,Social Media,News Sources,Conferences",,Yes,"One day in-person conference,One day virtual conference","One day in-person conference,One day virtual conference",,"Rabies,Influenza,Vector borne diseases,CWD","Rabies,Influenza,Vector borne diseases,CWD",,,31,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,0,1,0,1,3,2,3,1,4,4,5,4,4,5,2,4,2,2,5,3,1,3,2,5,4,4,5,2,4,Unfavorable,Neutral,Unfavorable,Neutral,Favorable,Unfavorable,Unfavorable,Favorable,Favorable,Favorable,Favorable,Unfavorable,Favorable,1,1,1,NA,1,4,4,3,3,3.3333333333333335
5/21/2024,11:11:00 AM,5/21/2024,11:18:00 AM,100,416,TRUE,5,R_1G0UJr2rbRxatfk,0.899999976,1985,Yes,36207,White,No,Male,"$100,001+",College Graduate/BA or BS (4-year degree),Yes,No,No,,Yes,10-20 years,Land/Wildlife Management,Land/Wildlife Management,,State/Provincial Government,State/Provincial Government,,Monthly,50,Yes,Yes,Dead,Yes,Always (100%),"Calhoun,Cherokee,Cleburne,DeKalb,Etowah",Yes,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,I don't know,TRUE,Blood,Place in a dumpster,Neutral,Agree,Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Neutral,Agree,Agree,Neutral,Disagree,Strongly Agree,Agree,Neutral,Yes,State Wildlife Agency,State Wildlife Agency,,Yes,One day virtual conference,One day virtual conference,,"CWD,SarsCoV2","CWD,SarsCoV2",,,39,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,3,4,4,2,4,4,4,5,3,4,4,3,2,2,2,2,4,3,4,4,5,3,4,4,3,2,Neutral,Favorable,Favorable,Favorable,Unfavorable,Unfavorable,Unfavorable,Favorable,Neutral,Favorable,Favorable,Neutral,Unfavorable,1,1,1,NA,1,4,5,4,3,4
5/15/2024,1:55:00 AM,5/15/2024,2:08:00 AM,100,769,TRUE,5,R_1Uj3ybWqGuK5bbP,0.800000012,1987,Yes,35016,White,No,Male,"$90,001-100,000",College Graduate/BA or BS (4-year degree),Yes,No,No,,Yes,10-20 years,Land/Wildlife Management,Land/Wildlife Management,,Federal Government,Federal Government,,Daily,60,Yes,Yes,Dead,Yes,Always (100%),"Baldwin,Blount,Cullman,DeKalb,Etowah,Jackson,Jefferson,Limestone,Madison,Marshall,Morgan,Saint Clair,Tuscaloosa",Yes,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,I don't know,TRUE,Bites,Ignore,Strongly Disagree,Neutral,Agree,Strongly Disagree,Neutral,Neutral,Neutral,Agree,Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Agree,Agree,Disagree,Yes,Other,Other,Colleagues,Yes,One day in-person conference,One day in-person conference,,"Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD","Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD",,,37,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,0,1,0,1,3,4,1,3,3,3,4,2,2,2,1,2,3,3,3,5,1,3,4,4,2,2,2,1,2,Unfavorable,Neutral,Favorable,Favorable,Neutral,Neutral,Neutral,Favorable,Unfavorable,Unfavorable,Unfavorable,Unfavorable,Unfavorable,1,1,1,NA,1,4,4,4,2,3.3333333333333335
5/15/2024,10:22:00 AM,5/15/2024,10:31:00 AM,100,554,TRUE,5,R_2pY7OU46Jg2FSRm,1,1976,Yes,36092,White,No,Male,"$100,001+",Graduate or Professional School,Yes,No,No,,No,5-10 years,Land/Wildlife Management,Land/Wildlife Management,,State/Provincial Government,State/Provincial Government,,Monthly,50,Yes,Yes,Dead,Yes,Always (100%),"Autauga,Butler,Elmore,Fayette,Lauderdale,Montgomery",Yes,TRUE,I don't know,FALSE,TRUE,FALSE,I don't know,I don't know,TRUE,Bites,I don't know,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Disagree,Agree,Agree,Neutral,Neutral,Neutral,Strongly Disagree,Neutral,Neutral,Neutral,No,"State Wildlife Agency,Social Media,News Sources,Conferences","State Wildlife Agency,Social Media,News Sources,Conferences",,Unsure,One day virtual conference,One day virtual conference,,"Rabies,CWD","Rabies,CWD",,,48,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,1,0,1,1,1,0,0,0,1,0,3,3,3,3,3,4,2,4,4,3,3,3,1,2,4,3,3,3,3,3,4,4,3,3,3,1,Neutral,Neutral,Neutral,Neutral,Neutral,Unfavorable,Favorable,Favorable,Favorable,Neutral,Neutral,Neutral,Unfavorable,1,1,1,NA,1,4,3,3,3,3
5/23/2024,8:10:00 AM,5/23/2024,8:18:00 AM,100,511,TRUE,5,R_3erYhs68RZRtqxb,1,1974,Yes,35768,White,No,Male,"$100,001+",Graduate or Professional School,Yes,Yes,Yes,>10 years,Yes,>20 years,Land/Wildlife Management,Land/Wildlife Management,,State/Provincial Government,State/Provincial Government,,Weekly,30,Yes,Yes,Dead,Yes,Always (100%),"Blount,Colbert,Cullman,DeKalb,Fayette,Franklin,Jackson,Lamar,Lauderdale,Lawrence,Limestone,Madison,Marion,Marshall,Walker,Winston",Yes,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Bites,Bury,Disagree,Disagree,Agree,Strongly Disagree,Disagree,Disagree,Disagree,Agree,Neutral,Agree,Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Neutral,Yes,Academic Publications,Academic Publications,,Yes,One day virtual conference,One day virtual conference,,"Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD,SarsCoV2","Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD,SarsCoV2",,,50,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,0,1,0,2,2,4,1,2,2,2,4,3,4,4,3,3,4,4,4,5,2,2,4,4,3,4,4,3,3,Unfavorable,Unfavorable,Favorable,Favorable,Favorable,Favorable,Favorable,Favorable,Neutral,Favorable,Favorable,Neutral,Neutral,1,1,1,NA,1,4,5,5,3,4.333333333333333
5/21/2024,11:14:00 AM,5/21/2024,11:37:00 AM,100,1352,TRUE,5,R_3KeVF91KL8u159I,0.899999976,1997,Yes,35907,White,No,Male,"$0-20,000",College Graduate/BA or BS (4-year degree),Yes,No,No,,Yes,1-5 years,Land/Wildlife Management,Land/Wildlife Management,,State/Provincial Government,State/Provincial Government,,Weekly,80,Yes,Yes,Dead,Yes,Always (100%),"Blount,Calhoun,Cherokee,Cleburne,DeKalb",Yes,TRUE,FALSE,FALSE,TRUE,FALSE,I don't know,I don't know,TRUE,Bites,Place in a dumpster,Neutral,Strongly Agree,Neutral,Disagree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Strongly Agree,Agree,Neutral,Yes,"State Wildlife Agency,I have Not looked for health information","State Wildlife Agency,I have Not looked for health information",,Yes,Year-long once a month virtual conference,Year-long once a month virtual conference,,"Rabies,Influenza,CWD","Rabies,Influenza,CWD",,,27,0,1,1,0,1,1,0,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0,3,5,3,2,3,3,4,4,4,4,4,3,3,3,2,3,4,3,5,3,4,4,4,4,3,3,Neutral,Favorable,Neutral,Favorable,Neutral,Neutral,Unfavorable,Favorable,Favorable,Favorable,Favorable,Neutral,Neutral,1,1,1,NA,1,4,5,4,3,4
5/31/2024,4:37:00 AM,5/31/2024,4:47:00 AM,100,634,TRUE,5,R_3NLfQynAGxl06eA,0.899999976,1993,Yes,35096,White,No,Male,"$50,001-60,000",College Graduate/BA or BS (4-year degree),Yes,No,No,,Yes,1-5 years,Land/Wildlife Management,Land/Wildlife Management,,State/Provincial Government,State/Provincial Government,,Monthly,60,Yes,Yes,Dead,Yes,Always (100%),"Calhoun,Chambers,Cherokee,Clay,Cleburne,Coosa,DeKalb,Etowah,Jackson,Marshall,Randolph,Saint Clair,Talladega,Tallapoosa",Yes,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,I don't know,TRUE,Bites,Bury,Disagree,Agree,Strongly Agree,Disagree,Disagree,Neutral,Agree,Agree,Agree,Agree,Strongly Agree,Neutral,Disagree,Strongly Agree,Agree,Disagree,Yes,"State Wildlife Agency,Academic Publications","State Wildlife Agency,Academic Publications",,Yes,Year-long once a month virtual conference,Year-long once a month virtual conference,,"Rabies,Influenza,Raccoon roundworm,Vector borne diseases","Rabies,Influenza,Raccoon roundworm,Vector borne diseases",,,31,0,1,1,0,1,1,0,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,1,0,0,1,0,2,4,5,2,2,3,4,4,4,4,5,3,2,3,2,4,4,2,4,5,4,4,4,5,3,2,Unfavorable,Favorable,Favorable,Favorable,Favorable,Neutral,Unfavorable,Favorable,Favorable,Favorable,Favorable,Neutral,Unfavorable,1,1,1,NA,1,4,5,4,2,3.6666666666666665
5/21/2024,10:54:00 AM,5/21/2024,11:17:00 AM,100,1411,TRUE,5,R_52Oq5ulpq2eBUBP,0.699999988,1982,Yes,36053,White,No,Male,"$60,001-70,000",College Graduate/BA or BS (4-year degree),Yes,No,Yes,>10 years,No,1-5 years,Land/Wildlife Management,Land/Wildlife Management,,State/Provincial Government,State/Provincial Government,,Weekly,60,Yes,Yes,Dead,Yes,Always (100%),"Barbour,Bullock",Yes,TRUE,FALSE,FALSE,TRUE,FALSE,I don't know,TRUE,TRUE,Bites,Ignore,Neutral,Neutral,Agree,Disagree,Disagree,Agree,Disagree,Strongly Agree,Neutral,Neutral,Agree,Agree,Disagree,Strongly Agree,Neutral,Neutral,Yes,"Friends/Family,State Wildlife Agency,Academic Publications","Friends/Family,State Wildlife Agency,Academic Publications",,Yes,"One day in-person conference,One day virtual conference,Year-long once a month virtual conference","One day in-person conference,One day virtual conference,Year-long once a month virtual conference",,"Vector borne diseases,CWD,SarsCoV2","Vector borne diseases,CWD,SarsCoV2",,,42,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0,3,3,4,2,2,4,2,5,3,3,4,4,2,2,4,4,4,3,3,4,5,3,3,4,4,2,Neutral,Neutral,Favorable,Favorable,Favorable,Unfavorable,Favorable,Favorable,Neutral,Neutral,Favorable,Favorable,Unfavorable,1,1,1,NA,1,4,5,3,3,3.6666666666666665
