"START","END","PROG","DURATION","FINISHED","RECORDED","ID","QSCORE","DOB","RESIDENT","ZIPCODE","RACE","ETHNICITY","GENDER","INCOME","EDUCATION","DEGREE","TWS","COURSE","COURSETIME","SELFTITLE","BIOTIME","ACTIVITYfill","ACTIVITYfill.1","othACTIVITY","AFFILIATE","AFFILIATEfill","othAFFILIATE","CONTACT","FIELD","COLLECT","HANDLE","STATE","PPE","PPETIME","COUNTIES","LICENSE","PIGS","BRUCE","CWD","FLUAL","FLU","COVID","COVIDSPILL","RABIESAL","RABIES","TURKEY","CWDAL","BATS","PPEREQ","EHD","DARWIN","POPRED","POPPLAN","SURVEY","VACCINE","PREVAL","DIVERSE","CONSEQ","CLIMATE","EDREQ","INFO","HANDSON","ACCESS","SOURCE","SOURCEfill","othSOURCE","INTEREST","FREEINFO","FREEINFOfill","othFREEINFO","TOPICS","TOPICSfill","othTOPICS","QSNCS","RACE_BIN","INCOME_BIN","GENDER_BIN","RESIDENT_BIN","AGE","AGE_BIN","SELFTITLE_BIN","ACTIVITY","LICENSE_BIN","BIOTIME_BIN","AFFILIATE_GROUP","ACTIVITY_GROUP","EDUCATION_BIN","DEGREE_BIN","TWS_BIN","COURSE_BIN","COURSETIME_BIN","COURSE_GROUP","DEMO_EDU_SCORE","DEMO_EDU_NORM","DEMO_EDU_AVG","DEMO_EDU_MED","DEMO_EXP_SCORE","DEMO_EXP_NORM","DEMO_EXP_AVG","DEMO_EXP_MED","PIGS_BINK","BRUCE_BINK","CWD_BINK","FLUAL_BINK","FLU_BINK","COVID_BINK","COVIDSPILL_BINK","RABIESAL_BINK","RABIES_BINK","TURKEY_BINK","KNOWLEDGE_SCORE","KNOWLEDGE_SCORE_NORM","KNOWLEDGE_AVG","KNOWLEDGE_MED","PIGS_BINC","BRUCE_BINC","CWD_BINC","FLUAL_BINC","FLU_BINC","COVID_BINC","COVIDSPILL_BINC","RABIESAL_BINC","RABIES_BINC","TURKEY_BINC","CONFIDENCE_SCORE","CONFIDENCE_SCORE_NORM","CONFIDENCE_AVG","CONFIDENCE_MED","POPRED_A","POPPLAN_A","SURVEY_A","VACCINE_A","PREVAL_A","DIVERSE_A","CONSEQ_A","CLIMATE_A","EDREQ_A","INFO_A","HANDSON_A","CWDAL_A","BATS_A","PPEREQ_A","EHD_A","DARWIN_A","ATT_CONTROL_SCORE","ATT_CONTROL_NORM","ATT_MISINFO_SCORE","ATT_MISINFO_NORM","ATT_CONCERN_SCORE","ATT_CONCERN_NORM","ATT_EDUCATION_SCORE","ATT_EDUCATION_NORM","ATT_REVERSE_SCORE","ATT_REVERSE_NORM","ATT_DIRECT_SCORE","ATT_DIRECT_NORM","CONTROL_AVG","CONTROL_MED","MISINFO_AVG","MISINFO_MED","CONCERN_AVG","CONCERN_MED","EDUCATION_AVG","EDUCATION_MED","REVERSE_AVG","REVERSE_MED","DIRECT_AVG","DIRECT_MED","TOPIC_COUNT","COLLECT_BIN","HANDLE_BIN","PPE_BIN","ACCESS_BIN","CONTACT_BIN","INTEREST_BIN","FIELD_BIN_MED","FIELD_BIN_50","STATE_BIN","PPETIME_BIN","FREEINFO_BIN_INPERSON","FREEINFO_BIN_VIRTUAL","FREEINFO_BIN_OTHER","TOPIC_BIN_RABIES","TOPIC_BIN_FLU","TOPIC_BIN_LEPTO","TOPIC_BIN_RR","TOPIC_BIN_VECTOR","TOPIC_BIN_CWD","TOPIC_BIN_COVID","TOPIC_BIN_ONEHEALTH","TOPIC_BIN_OTHER","TOPIC_BREADTH_BIN","SOURCE_BIN_FAMILY","SOURCE_BIN_AGENCY","SOURCE_BIN_ACADEMIC","SOURCE_BIN_SOCIAL","SOURCE_BIN_NEWS","SOURCE_BIN_CONFERENCES","SOURCE_BIN_NONE","SOURCE_BIN_OTHER","SOURCE_TRUST_COUNT","SOURCE_UNTRUST_COUNT","SOURCE_TRUST_BIN","PRACTICE_EXPOSURE_SCORE","PRACTICE_EXPOSURE_NORM","PRACTICE_AVG","PRACTICE_MED","PRACTICE_EDUCATION_SCORE","PRACTICE_EDUCATION_NORM"
"5/30/2024","5/30/2024",100,589,TRUE,"5","R_15tt1PYLmeORFQy",0.899999976,1999,"Yes",36830,"White","No","Female","$0-20,000","Some College/AA or AS (2-year degree)","No","No","Yes","<5 years","Yes","<1 year","Research","Research","","Academic/Research Institution","Academic/Research Institution","","Weekly",40,"No","Yes","Alive - Not Sedated","Yes","Always (100%)","Lee,Macon,Montgomery,Tallapoosa","No","TRUE","I don't know","TRUE","TRUE","FALSE","I don't know","TRUE","TRUE","Bites","I don't know","Disagree","Agree","Agree","Neutral","Strongly Disagree","Disagree","Neutral","Strongly Agree","Neutral","Agree","Strongly Agree","Neutral","Strongly Agree","Agree","Neutral","Agree","Yes","Academic Publications,Social Media,Conferences","Academic Publications,Social Media,Conferences","","Yes","One day in-person conference,Year-long once a month virtual conference","One day in-person conference,Year-long once a month virtual conference","","Rabies,Influenza,Leptospirosis,Raccoon roundworm,CWD,SarsCoV2,One Health","Rabies,Influenza,Leptospirosis,Raccoon roundworm,CWD,SarsCoV2,One Health","","",1,0,0,1,25,0,1,"Research",0,0,"Academic","Science/Technical",0,0,0,1,1,"Recent",0,0,0,0,1,0.25,0,0,1,0,0,1,1,0,1,1,1,0,6,0.6,0,0,0,1,0,0,0,1,0,0,0,1,3,0.3,1,1,4,3,5,3,4,5,3,5,4,3,2,4,4,4,3,5,3.83333333333333,0.766666666666667,4,0.8,4,0.8,3,0.6,3.42857142857143,0.685714285714286,4,0.8,1,1,1,0,1,1,0,0,1,1,1,1,0,0,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,0,0,1,1,0,1,0,0,2,1,1,2,0.5,1,1,3,1
"5/15/2024","5/15/2024",100,412,TRUE,"5","R_2wiz7QrGcVirdmI",0.699999988,1972,"Yes",36804,"Asian","No","Male","$80,001-90,000","Graduate or Professional School","Yes","No","Yes",">10 years","Yes","10-20 years","Research","Research","","Academic/Research Institution","Academic/Research Institution","","Rarely",20,"Yes","Yes","Alive - Not Sedated","Yes","Always (100%)","Lee","No","TRUE","FALSE","FALSE","I don't know","FALSE","TRUE","TRUE","TRUE","Bites","Place in a dumpster","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Neutral","Strongly Agree","Neutral","Strongly Disagree","Neutral","Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Disagree","Yes","State Wildlife Agency,Academic Publications","State Wildlife Agency,Academic Publications","","Yes","One day in-person conference","One day in-person conference","","Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD,SarsCoV2,One Health","Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD,SarsCoV2,One Health","","",0,1,1,1,52,1,1,"Research",0,1,"Academic","Science/Technical",1,1,0,1,0,"Older",2,1,1,0,2,0.5,1,1,1,1,1,0,1,1,1,1,1,0,8,0.8,1,1,0,0,0,1,0,0,0,0,0,0,1,0.1,0,0,5,3,5,3,1,3,4,5,5,5,4,5,5,5,5,5,4.33333333333333,0.866666666666667,5,1,2.66666666666667,0.533333333333333,4.66666666666667,0.933333333333333,4.57142857142857,0.914285714285714,3.875,0.775,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,2,0,1,2,0.5,0,0,2,0.666666666666667
"5/21/2024","5/21/2024",100,536,TRUE,"5","R_74l1hIqg2EJQCSl",0.899999976,1993,"Yes",35216,"White","Yes","Male","$80,001-90,000","College Graduate/BA or BS (4-year degree)","Yes","No","No",NA,"Yes","1-5 years","Land/Wildlife Management","Land/Wildlife Management","","Private Industry","Private Industry","","Monthly",70,"Yes","Yes","Alive - Not Sedated","Yes","Always (100%)","Baldwin,Jackson,Winston","Yes","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","Bites","Place in a dumpster","Strongly Disagree","Neutral","Disagree","Neutral","Strongly Disagree","Agree","Agree","Strongly Agree","Agree","Agree","Strongly Agree","Disagree","Agree","Agree","Neutral","Neutral","No","State Wildlife Agency,Social Media,News Sources,Conferences","State Wildlife Agency,Social Media,News Sources,Conferences","","Yes","One day in-person conference,One day virtual conference","One day in-person conference,One day virtual conference","","Rabies,Influenza,Vector borne diseases,CWD","Rabies,Influenza,Vector borne diseases,CWD","","",1,1,1,1,31,0,1,"Land/Wildlife Management",1,0,"Private","Fieldwork",1,1,0,0,NA,"None",2,1,1,0,1,0.25,0,0,1,1,1,1,1,1,1,1,1,0,9,0.9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,4,4,5,2,4,4,3,3,5,3,2,3,5,3,0.6,4.33333333333333,0.866666666666667,3.66666666666667,0.733333333333333,3.33333333333333,0.666666666666667,3.28571428571429,0.657142857142857,3.625,0.725,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0,1,1,1,0,0,2,2,0,3,0.75,1,1,3,1
"5/21/2024","5/21/2024",100,416,TRUE,"5","R_1G0UJr2rbRxatfk",0.899999976,1985,"Yes",36207,"White","No","Male","$100,001+","College Graduate/BA or BS (4-year degree)","Yes","No","No",NA,"Yes","10-20 years","Land/Wildlife Management","Land/Wildlife Management","","State/Provincial Government","State/Provincial Government","","Monthly",50,"Yes","Yes","Dead","Yes","Always (100%)","Calhoun,Cherokee,Cleburne,DeKalb,Etowah","Yes","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","I don't know","TRUE","Blood","Place in a dumpster","Neutral","Agree","Agree","Disagree","Agree","Agree","Agree","Strongly Agree","Neutral","Agree","Agree","Neutral","Disagree","Strongly Agree","Agree","Neutral","Yes","State Wildlife Agency","State Wildlife Agency","","Yes","One day virtual conference","One day virtual conference","","CWD,SarsCoV2","CWD,SarsCoV2","","",1,1,1,1,39,1,1,"Land/Wildlife Management",1,1,"Government","Fieldwork",1,1,0,0,NA,"None",2,1,1,0,2,0.5,1,1,1,1,1,1,1,1,0,1,0,0,7,0.7,0,0,0,0,0,0,0,0,1,0,0,0,1,0.1,0,0,2,2,5,3,4,4,3,2,5,2,3,3,4,4,4,2,3.33333333333333,0.666666666666667,3,0.6,3.66666666666667,0.733333333333333,3.33333333333333,0.666666666666667,2.57142857142857,0.514285714285714,4,0.8,0,0,0,0,1,1,1,1,0,0,1,1,0,1,1,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,3,0.75,0,0,2,0.666666666666667
"5/15/2024","5/15/2024",100,769,TRUE,"5","R_1Uj3ybWqGuK5bbP",0.800000012,1987,"Yes",35016,"White","No","Male","$90,001-100,000","College Graduate/BA or BS (4-year degree)","Yes","No","No",NA,"Yes","10-20 years","Land/Wildlife Management","Land/Wildlife Management","","Federal Government","Federal Government","","Daily",60,"Yes","Yes","Dead","Yes","Always (100%)","Baldwin,Blount,Cullman,DeKalb,Etowah,Jackson,Jefferson,Limestone,Madison,Marshall,Morgan,Saint Clair,Tuscaloosa","Yes","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","I don't know","TRUE","Bites","Ignore","Strongly Disagree","Neutral","Agree","Strongly Disagree","Neutral","Neutral","Neutral","Agree","Disagree","Disagree","Disagree","Strongly Disagree","Disagree","Agree","Agree","Disagree","Yes","Other","Other","Colleagues","Yes","One day in-person conference","One day in-person conference","","Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD","Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD","","",1,1,1,1,37,1,1,"Land/Wildlife Management",1,1,"Government","Fieldwork",1,1,0,0,NA,"None",2,1,1,0,2,0.5,1,1,1,1,1,1,1,1,0,1,1,0,8,0.8,1,1,0,0,0,0,0,0,1,0,0,0,1,0.1,0,0,3,3,4,2,2,2,1,2,4,2,4,5,3,4,5,3,3.16666666666667,0.633333333333333,4.33333333333333,0.866666666666667,1.66666666666667,0.333333333333333,3.33333333333333,0.666666666666667,3.57142857142857,0.714285714285714,2.75,0.55,0,0,1,1,0,0,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4,1,0,0,2,0.666666666666667
"5/15/2024","5/15/2024",100,554,TRUE,"5","R_2pY7OU46Jg2FSRm",1,1976,"Yes",36092,"White","No","Male","$100,001+","Graduate or Professional School","Yes","No","No",NA,"No","5-10 years","Land/Wildlife Management","Land/Wildlife Management","","State/Provincial Government","State/Provincial Government","","Monthly",50,"Yes","Yes","Dead","Yes","Always (100%)","Autauga,Butler,Elmore,Fayette,Lauderdale,Montgomery","Yes","TRUE","I don't know","FALSE","TRUE","FALSE","I don't know","I don't know","TRUE","Bites","I don't know","Neutral","Neutral","Neutral","Neutral","Neutral","Agree","Disagree","Agree","Agree","Neutral","Neutral","Neutral","Strongly Disagree","Neutral","Neutral","Neutral","No","State Wildlife Agency,Social Media,News Sources,Conferences","State Wildlife Agency,Social Media,News Sources,Conferences","","Unsure","One day virtual conference","One day virtual conference","","Rabies,CWD","Rabies,CWD","","",1,1,1,1,48,1,0,"Land/Wildlife Management",1,0,"Government","Fieldwork",1,1,0,0,NA,"None",2,1,1,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,6,0.6,0,0,0,1,0,0,0,1,1,0,0,1,4,0.4,1,1,2,4,4,4,3,3,3,1,3,3,3,3,3,3,3,3,3.33333333333333,0.666666666666667,3,0.6,3,0.6,3,0.6,3,0.6,3.25,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,2,2,0,3,0.75,0,0,2,0.666666666666667
"5/23/2024","5/23/2024",100,511,TRUE,"5","R_3erYhs68RZRtqxb",1,1974,"Yes",35768,"White","No","Male","$100,001+","Graduate or Professional School","Yes","Yes","Yes",">10 years","Yes",">20 years","Land/Wildlife Management","Land/Wildlife Management","","State/Provincial Government","State/Provincial Government","","Weekly",30,"Yes","Yes","Dead","Yes","Always (100%)","Blount,Colbert,Cullman,DeKalb,Fayette,Franklin,Jackson,Lamar,Lauderdale,Lawrence,Limestone,Madison,Marion,Marshall,Walker,Winston","Yes","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","Bites","Bury","Disagree","Disagree","Agree","Strongly Disagree","Disagree","Disagree","Disagree","Agree","Neutral","Agree","Agree","Neutral","Neutral","Strongly Agree","Strongly Agree","Neutral","Yes","Academic Publications","Academic Publications","","Yes","One day virtual conference","One day virtual conference","","Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD,SarsCoV2","Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD,SarsCoV2","","",1,1,1,1,50,1,1,"Land/Wildlife Management",1,1,"Government","Fieldwork",1,1,1,1,0,"Older",2,1,1,0,3,0.75,1,1,1,1,1,1,1,1,1,1,1,1,10,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,3,4,4,3,3,5,1,3,4,2,4,5,4,3.5,0.7,4.33333333333333,0.866666666666667,3.66666666666667,0.733333333333333,3,0.6,3.57142857142857,0.714285714285714,3.625,0.725,0,0,1,1,1,1,0,0,1,1,0,0,0,1,1,1,0,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,3,0.75,0,0,2,0.666666666666667
"5/21/2024","5/21/2024",100,1352,TRUE,"5","R_3KeVF91KL8u159I",0.899999976,1997,"Yes",35907,"White","No","Male","$0-20,000","College Graduate/BA or BS (4-year degree)","Yes","No","No",NA,"Yes","1-5 years","Land/Wildlife Management","Land/Wildlife Management","","State/Provincial Government","State/Provincial Government","","Weekly",80,"Yes","Yes","Dead","Yes","Always (100%)","Blount,Calhoun,Cherokee,Cleburne,DeKalb","Yes","TRUE","FALSE","FALSE","TRUE","FALSE","I don't know","I don't know","TRUE","Bites","Place in a dumpster","Neutral","Strongly Agree","Neutral","Disagree","Neutral","Neutral","Agree","Agree","Agree","Agree","Agree","Neutral","Neutral","Strongly Agree","Agree","Neutral","Yes","State Wildlife Agency,I have Not looked for health information","State Wildlife Agency,I have Not looked for health information","","Yes","Year-long once a month virtual conference","Year-long once a month virtual conference","","Rabies,Influenza,CWD","Rabies,Influenza,CWD","","",1,0,1,1,27,0,1,"Land/Wildlife Management",1,0,"Government","Fieldwork",1,1,0,0,NA,"None",2,1,1,0,1,0.25,0,0,1,1,1,1,1,0,0,1,1,0,7,0.7,0,0,0,0,0,0,0,1,1,0,0,0,2,0.2,1,1,3,2,4,4,4,4,3,3,5,2,3,3,5,3,4,3,3.5,0.7,3.33333333333333,0.666666666666667,3.66666666666667,0.733333333333333,3.33333333333333,0.666666666666667,2.85714285714286,0.571428571428571,4,0.8,0,0,0,0,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,4,1,0,0,2,0.666666666666667
"5/31/2024","5/31/2024",100,634,TRUE,"5","R_3NLfQynAGxl06eA",0.899999976,1993,"Yes",35096,"White","No","Male","$50,001-60,000","College Graduate/BA or BS (4-year degree)","Yes","No","No",NA,"Yes","1-5 years","Land/Wildlife Management","Land/Wildlife Management","","State/Provincial Government","State/Provincial Government","","Monthly",60,"Yes","Yes","Dead","Yes","Always (100%)","Calhoun,Chambers,Cherokee,Clay,Cleburne,Coosa,DeKalb,Etowah,Jackson,Marshall,Randolph,Saint Clair,Talladega,Tallapoosa","Yes","TRUE","TRUE","FALSE","TRUE","FALSE","TRUE","I don't know","TRUE","Bites","Bury","Disagree","Agree","Strongly Agree","Disagree","Disagree","Neutral","Agree","Agree","Agree","Agree","Strongly Agree","Neutral","Disagree","Strongly Agree","Agree","Disagree","Yes","State Wildlife Agency,Academic Publications","State Wildlife Agency,Academic Publications","","Yes","Year-long once a month virtual conference","Year-long once a month virtual conference","","Rabies,Influenza,Raccoon roundworm,Vector borne diseases","Rabies,Influenza,Raccoon roundworm,Vector borne diseases","","",1,0,1,1,31,0,1,"Land/Wildlife Management",1,0,"Government","Fieldwork",1,1,0,0,NA,"None",2,1,1,0,1,0.25,0,0,1,0,1,1,1,1,0,1,1,1,8,0.8,1,1,0,0,0,0,0,0,1,0,0,0,1,0.1,0,0,3,2,4,4,4,5,3,2,5,2,4,4,4,5,4,4,3.66666666666667,0.733333333333333,4,0.8,4,0.8,3.66666666666667,0.733333333333333,3.28571428571429,0.657142857142857,4.25,0.85,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,0,0,1,1,1,0,1,0,1,0,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,2,0,1,3,0.75,0,0,2,0.666666666666667
"5/21/2024","5/21/2024",100,1411,TRUE,"5","R_52Oq5ulpq2eBUBP",0.699999988,1982,"Yes",36053,"White","No","Male","$60,001-70,000","College Graduate/BA or BS (4-year degree)","Yes","No","Yes",">10 years","No","1-5 years","Land/Wildlife Management","Land/Wildlife Management","","State/Provincial Government","State/Provincial Government","","Weekly",60,"Yes","Yes","Dead","Yes","Always (100%)","Barbour,Bullock","Yes","TRUE","FALSE","FALSE","TRUE","FALSE","I don't know","TRUE","TRUE","Bites","Ignore","Neutral","Neutral","Agree","Disagree","Disagree","Agree","Disagree","Strongly Agree","Neutral","Neutral","Agree","Agree","Disagree","Strongly Agree","Neutral","Neutral","Yes","Friends/Family,State Wildlife Agency,Academic Publications","Friends/Family,State Wildlife Agency,Academic Publications","","Yes","One day in-person conference,One day virtual conference,Year-long once a month virtual conference","One day in-person conference,One day virtual conference,Year-long once a month virtual conference","","Vector borne diseases,CWD,SarsCoV2","Vector borne diseases,CWD,SarsCoV2","","",1,1,1,1,42,1,0,"Land/Wildlife Management",1,0,"Government","Fieldwork",1,1,0,1,0,"Older",2,1,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,8,0.8,1,1,0,0,0,0,0,1,0,0,0,0,1,0.1,0,0,2,4,5,3,3,4,4,2,5,3,3,3,3,4,4,4,3.5,0.7,3.66666666666667,0.733333333333333,3.66666666666667,0.733333333333333,3.66666666666667,0.733333333333333,3.28571428571429,0.657142857142857,3.875,0.775,0,0,0,0,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,2,1,1,4,1,1,1,3,1
