var1,var2,test,p_value,cramers_v,dim1,dim2,category
LICENSEbin,CORRECTmed,Chi-squared,0.002,0.3346002832950265,2,2,DEMO_KNOW
BIOTIMEbin,CORRECTmed,Chi-squared,0.006,0.2545834603467516,2,2,DEMO_KNOW
LICENSEbin,CORRECTavg,Chi-squared,0.001,0.3346002832950265,2,2,DEMO_KNOW
BIOTIMEbin,CORRECTavg,Chi-squared,0.004,0.2545834603467516,2,2,DEMO_KNOW
LICENSEbin,CERTAINmed,Chi-squared,0.01,0.21665836686116446,2,2,DEMO_KNOW
BIOTIMEbin,CERTAINmed,Chi-squared,0.026,0.19889806323953876,2,2,DEMO_KNOW
EDUCATIONbin,CERTAINavg,Chi-squared,0.008,0.23036196577205836,2,2,DEMO_KNOW
DEGREEbin,CERTAINavg,Chi-squared,0.006,0.25459297659609037,2,2,DEMO_KNOW
COURSEbin,CERTAINavg,Chi-squared,0.005,0.2517074368625803,2,2,DEMO_KNOW
LICENSEbin,CERTAINavg,Chi-squared,0.003,0.26135827249990395,2,2,DEMO_KNOW
BIOTIMEbin,CERTAINavg,Chi-squared,0.002,0.28257931626828053,2,2,DEMO_KNOW
DEGREEbin,PIGScorr,Chi-squared,0.007,0.26071445677604455,2,2,DEMO_KNOW
SELFTITLEbin,PIGScorr,Chi-squared,0.048,0.17927719707289433,2,2,DEMO_KNOW
BIOTIMEbin,PIGScorr,Chi-squared,0.035,0.20351933162035313,2,2,DEMO_KNOW
LICENSEbin,BRUCEcorr,Chi-squared,0.016,0.21481214908927718,2,2,DEMO_KNOW
BIOTIMEbin,BRUCEcorr,Chi-squared,0.001,0.25414416557723535,2,2,DEMO_KNOW
GENDERbin,CWDcorr,Chi-squared,0.012,0.2371045259343571,2,2,DEMO_KNOW
EDUCATIONbin,CWDcorr,Chi-squared,0.029,0.20769505007719313,2,2,DEMO_KNOW
LICENSEbin,CWDcorr,Chi-squared,0.001,0.3759054398658541,2,2,DEMO_KNOW
BIOTIMEbin,CWDcorr,Chi-squared,0.033,0.1857308236232342,2,2,DEMO_KNOW
AGEbin,FLUALcorr,Chi-squared,0.036,0.1991459970843084,2,2,DEMO_KNOW
RACEbin,FLUALcorr,Chi-squared,0.049,0.19611613513818404,2,2,DEMO_KNOW
EDUCATIONbin,FLUALcorr,Chi-squared,0.042,0.19571136827773994,2,2,DEMO_KNOW
DEGREEbin,FLUALcorr,Chi-squared,0.036,0.18594047577803657,2,2,DEMO_KNOW
BIOTIMEbin,FLUALcorr,Chi-squared,0.015,0.20686389513700834,2,2,DEMO_KNOW
EDUCATIONbin,FLUcorr,Chi-squared,0.005,0.26857919794431934,2,2,DEMO_KNOW
DEGREEbin,FLUcorr,Chi-squared,0.016,0.23210354127426377,2,2,DEMO_KNOW
EDUCATIONbin,COVIDcorr,Chi-squared,0.001,0.36642650897659657,2,2,DEMO_KNOW
DEGREEbin,COVIDcorr,Chi-squared,0.001,0.2927858357513111,2,2,DEMO_KNOW
COURSEbin,COVIDcorr,Chi-squared,0.048,0.17912443020795965,2,2,DEMO_KNOW
SELFTITLEbin,COVIDcorr,Chi-squared,0.009,0.2239055377599496,2,2,DEMO_KNOW
LICENSEbin,COVIDcorr,Chi-squared,0.035,0.1852607127825039,2,2,DEMO_KNOW
BIOTIMEbin,COVIDcorr,Chi-squared,0.011,0.22230872018035167,2,2,DEMO_KNOW
RACEbin,FAVbin,Chi-squared,0.019,0.21280357093218347,2,2,DEMO_ATT
GENDERbin,FAVbin,Chi-squared,0.025,0.20343978429532333,2,2,DEMO_ATT
EDUCATIONbin,NEUTRALbin,Chi-squared,0.04,0.194888643821161,2,2,DEMO_ATT
DEGREEbin,NEUTRALbin,Chi-squared,0.006,0.2511948227401712,2,2,DEMO_ATT
SELFTITLEbin,NEUTRALbin,Chi-squared,0.02,0.21192192893556788,2,2,DEMO_ATT
AGEbin,UNFAVbin,Chi-squared,0.03,0.1890022082073383,2,2,DEMO_ATT
DEGREEbin,UNFAVbin,Chi-squared,0.043,0.18475211387603438,2,2,DEMO_ATT
TWSbin,UNFAVbin,Chi-squared,0.024,0.20169725678581424,2,2,DEMO_ATT
BIOTIMEbin,UNFAVbin,Chi-squared,0.001,0.306336599562408,2,2,DEMO_ATT
AGEbin,ATTITUDEbin,Chi-squared,0.019,0.20207259421636903,2,2,DEMO_ATT
RACEbin,ATTITUDEbin,Chi-squared,0.015,0.2192645048267573,2,2,DEMO_ATT
GENDERbin,ATTITUDEbin,Chi-squared,0.003,0.264993893507352,2,2,DEMO_ATT
BIOTIMEbin,ATTITUDEbin,Chi-squared,0.047,0.1815682598006407,2,2,DEMO_ATT
BIOTIMEbin,COUNTIESbin,Chi-squared,0.002,0.28734490211447,2,2,DEMO_PRACT
LICENSEbin,COLLECTbin,Chi-squared,0.006,0.24180560282809502,2,2,DEMO_PRACT
COURSETIMEbin,HANDLEbin,Chi-squared,0.015,0.3371227228838044,2,2,DEMO_PRACT
LICENSEbin,PPEbin,Chi-squared,0.004,0.3165847494975995,2,2,DEMO_PRACT
GENDERbin,STATEbin,Chi-squared,0.023,0.33973710962536574,2,2,DEMO_PRACT
LICENSEbin,STATEbin,Chi-squared,0.012,0.3785491051807825,2,2,DEMO_PRACT
COURSETIMEbin,PRACbin,Chi-squared,0.03,0.3198982220172768,2,2,DEMO_PRACT
GENDERbin,TOPICSedu,Chi-squared,0.008,0.24370164334578936,2,2,DEMO_INTER
DEGREEbin,TOPICSedu,Chi-squared,0.011,0.24324073171085353,2,2,DEMO_INTER
SELFTITLEbin,TOPICSedu,Chi-squared,0.018,0.20779281290969487,2,2,DEMO_INTER
GENDERbin,SOURCEedu,Chi-squared,0.002,0.28088623835474547,2,2,DEMO_INTER
COURSEbin,ACCESSedu,Chi-squared,0.018,0.2109273887791227,2,2,DEMO_INTER
COURSEbin,INTERESTedu,Chi-squared,0.027,0.22275505063559842,2,3,DEMO_INTER
SELFTITLEbin,INTERESTedu,Chi-squared,0.025,0.2500571363280229,2,3,DEMO_INTER
GENDERbin,INFObin,Chi-squared,0.001,0.35422210459871484,2,2,DEMO_INTER
COURSEbin,INFObin,Chi-squared,0.025,0.20100756305184236,2,2,DEMO_INTER
GENDERbin,EDREQedu,Chi-squared,0.007,0.2637212016134674,2,3,DEMO_INTER
FLUALcorr,CONTACTbin,Chi-squared,0.026,0.19773098699765324,2,2,KNOW_PRACT
FLUcorr,CONTACTbin,Chi-squared,0.031,0.20755424039255602,2,2,KNOW_PRACT
FLUALcorr,COUNTIESbin,Chi-squared,0.016,0.21433903390993822,2,2,KNOW_PRACT
CWDcorr,PPEbin,Chi-squared,0.025,0.24430707172424398,2,2,KNOW_PRACT
CORRECTmed,STATEbin,Chi-squared,0.044,0.29561468440591315,2,2,KNOW_PRACT
CORRECTavg,STATEbin,Chi-squared,0.037,0.29561468440591315,2,2,KNOW_PRACT
CERTAINavg,STATEbin,Chi-squared,0.018,0.32868559169063843,2,2,KNOW_PRACT
CWDcorr,STATEbin,Chi-squared,0.01,0.36292548572054906,2,2,KNOW_PRACT
FLUALcorr,STATEbin,Chi-squared,0.004,0.42362536520690697,2,2,KNOW_PRACT
FLUALcorr,PRACbin,Chi-squared,0.032,0.18379786027316278,2,2,KNOW_PRACT
CERTAINavg,nCOUNTIESbin,Chi-squared,0.016,0.4595194614268676,2,20,KNOW_PRACT
TURKEYcorr,TOPICSedu,Chi-squared,0.043,0.17420706599218375,2,2,KNOW_INTER
FLUcorr,SOURCEedu,Chi-squared,0.033,0.19047619047619047,2,2,KNOW_INTER
PIGScorr,INTERESTedu,Chi-squared,0.043,0.2462378339454393,2,3,KNOW_INTER
CORRECTmed,EDREQedu,Chi-squared,0.025,0.2305334785332319,2,3,KNOW_INTER
CORRECTavg,EDREQedu,Chi-squared,0.025,0.2305334785332319,2,3,KNOW_INTER
CERTAINavg,EDREQedu,Chi-squared,0.026,0.23294260711520046,2,3,KNOW_INTER
