var1,var2,test,rho,pval,W,chi.stat,chi.pval,cramersV
CWDcorr,CWDALord,Spearman,NA,NA,NA,NA,NA,NA
RABIEScorr,RABIESord,Spearman,NA,NA,NA,NA,NA,NA
CORRRECTnum,CERTAINnum,Spearman,0.7901858294055178,2.7980694847825676e-33,NA,NA,NA,NA
LICENSEbin,PPEREQord,Wilcoxon,NA,NA,NA,NA,NA,NA
EDUCATIONbin,INTERESTbin,Chi-squared,NA,NA,NA,1.1419172932330828,0.351,0.09197090092274487
TWSbin,SOURCEbin,Chi-squared,NA,NA,NA,0.432,0.68,0.05366563145999496
COURSETIMEbin,CWDcorr,Chi-squared,NA,NA,NA,2.3710776748971187,0.154,0.20046884346862004
COURSETIMEbin,RABIEScorr,Chi-squared,NA,NA,NA,0.25457005718954256,0.709,0.0656867317806735
CWDcorr,CWDcert,Chi-squared,NA,NA,NA,28.47222222222222,0.001,0.43567742059328113
RABIEScorr,RABIEScert,Chi-squared,NA,NA,NA,46.55172413793103,0.001,0.5570860145311556
CORRRECTnum,TOPICSbin,Spearman,0.03822869936759781,0.6423202628768362,NA,NA,NA,NA
HANDLEbin,PPEbin,Chi-squared,NA,NA,NA,0.14227244229125108,0.824,0.03548306866477984
HANDLEbin,PPETIME,Wilcoxon,NA,NA,NA,NA,NA,NA
HANDLEbin,INTERESTbin,Chi-squared,NA,NA,NA,1.3121217678342196,0.517,0.09858712138243869
RACEbin,RABIEScorr,Chi-squared,NA,NA,NA,0.6023088505939435,0.65,0.06467379957406887
AGEbin,PPEbin,Chi-squared,NA,NA,NA,5.803800719054792e-4,1,0.00226629804549671
