"","cramerschi.output.list","agexcert50","agexcertmed","agexcorr50","agexcorrmed","genxcert50","genxcertmed","genxcorr50","genxcorrmed","incomexcert50","incomexcertmed","incomexcorr50","incomexcorrmed"
"1","chistat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","chi.df",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","chi.pvalue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","CramV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","zero_zero",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","zero_one",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","one_zero",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","one_one",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","colzerotot",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","colonetot",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
