StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Q_RelevantIDLastStartDate,Q_BallotBoxStuffing,Q2,Q3,Q4,Q5,Q5_7_TEXT,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q93,Q13,Q14,Q15,Q15_6_TEXT,Q16,Q16_8_TEXT,Q18,Q17_1,Q19,Q20,Q94,Q21,Q95,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q32,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q41,Q42,Q43,Q44,Q46,Q47,Q48,Q49,Q50,Q51,Q52,Q53,Q54,Q54_8_TEXT,Q55,Q56,Q56_4_TEXT,Q57,Q57_9_TEXT,Q58
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Q_RecaptchaScore,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Q_RelevantIDLastStartDate,Q_BallotBoxStuffing,What year were you born?,Do you live and/or work in Alabama,"What is the zip code of your current residence?
(5 digit zip code)",Select the race that best describes you: - Selected Choice,Select the race that best describes you: - Other - Text,"Do you identify with Latino, Hispanic, or Spanish origin?",What is your gender?,What was your approximate household income in 2019?,What is the highest degree or level of education you have completed?,"Do you have a degree in wildlife biology, ecology, or management or related field?",Are you certified by The Wildlife Society (TWS) as a wildlife biologist?,Have you taken a formal course on wildlife health?,When did you take a formal course on wildlife health?,Do you consider yourself to be a wildlife biologist?,For how many years have you been employed as a wildlife biologist?,Which type of activities best describe the primary focus of your work in wildlife biology? - Selected Choice,Which type of activities best describe the primary focus of your work in wildlife biology? - Other - Text,What is your primary affiliation in the field of wildlife biology? - Selected Choice,What is your primary affiliation in the field of wildlife biology? - Other - Text,How frequently do you come into direct physical contact with wildlife in Alabama as part of your employment duties?,What percentage of the time do you spend in the field as part of your employment duties? - Percentage,Do you regularly collect samples in the field from wildlife in Alabama?,Do you regularly handle samples in the laboratory or field that have been collected from wildlife in Alabama?,"When collecting samples, the animal is typically:","If you handle or collect samples from wildlife in Alabama, do you utilize personal protective equipment (PPE)?",How often do you use PPE when handling or collecting samples?,In which counties do you regularly come into contact with wildlife in Alabama? Select all that apply.,Did you have a hunting/trapping license for the state of Alabama in the past three years (2020-2023)?,Wild pigs may serve as a source of infectious disease transmission to both humans and domestic animals in Alabama.,Brucellosis affects reproduction in domestic animals but is not a concern for wildlife.,Chronic Wasting Disease (CWD) is primarily transmitted among cervids (deer/elk) through ticks.,Avian influenza has been found in wild and domestic birds in Alabama.,Avian influenza does not kill wildlife.,SARS CoV2 (COVID) can infect deer.,SARS CoV2 (COVID) from wildlife can infect humans.,Rabies has been found in ALL states that border Alabama.,How is rabies transmitted?,How should you dispose of a fresh wild turkey carcass that was found in Alabama?,CWD was present in Alabama before the 21st century,Bats are significant carriers of many infectious diseases in Alabama,Personal Protective Equipment (PPE) is necessary when conducting fieldwork that does not directly involve zoonotic diseases,Epizootic Hemorrhagic Disease (EHD) is a major threat to human health,The only way to deal with zoonotic diseases in wildlife (such as rabies) is to let nature take its course,Reducing the population of certain wild species in affected areas will eliminate infectious diseases in Alabama,Current plans to manage wildlife populations in Alabama will be effective in controlling infectious diseases,Surveillance is essential to successful infectious disease management,"The vaccination of wildlife, such as for rabies, should be considered for other diseases",About the current prevalence of wildlife diseases in Alabama,That infectious diseases will affect Alabama’s biodiversity,That wildlife diseases in my region will affect my health or my family’s health today.,That climate change will impact wildlife health in Alabama.,A course on wildlife health should be required for a major in wildlife biology,Information on wildlife health can be acquired through continuing education rather than in undergraduate courses,All critical elements (including aspects of wildlife health) can be acquired through on-the-job training and experience,Is the information you need regarding wildlife health in Alabama easily accessible to you?,What is your preferred source to obtain information regarding wildlife health in Alabama? Please select all that apply. - Selected Choice,What is your preferred source to obtain information regarding wildlife health in Alabama? Please select all that apply. - Other - Text,Would you be interested in learning more about wildlife health in Alabama?,"If there was a free course on wildlife health in Alabama, how would you like to participate? Please select all that apply. - Selected Choice","If there was a free course on wildlife health in Alabama, how would you like to participate? Please select all that apply. - Other - Text",What topics would you like to obtain more information regarding wildlife health in Alabama? Please select all that apply. - Selected Choice,What topics would you like to obtain more information regarding wildlife health in Alabama? Please select all that apply. - Other - Text,"Please write any additional comments, questions, or concerns below"
"{""ImportId"":""startDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""endDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""Q_RelevantIDDuplicate""}","{""ImportId"":""Q_RelevantIDDuplicateScore""}","{""ImportId"":""Q_RelevantIDFraudScore""}","{""ImportId"":""Q_RelevantIDLastStartDate"",""timeZone"":""UTC""}","{""ImportId"":""Q_BallotBoxStuffing""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID2""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID3_7_TEXT""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID12""}","{""ImportId"":""QID51""}","{""ImportId"":""QID52""}","{""ImportId"":""QID53""}","{""ImportId"":""QID54""}","{""ImportId"":""QID103""}","{""ImportId"":""QID56""}","{""ImportId"":""QID57""}","{""ImportId"":""QID58""}","{""ImportId"":""QID58_6_TEXT""}","{""ImportId"":""QID59""}","{""ImportId"":""QID59_8_TEXT""}","{""ImportId"":""QID61""}","{""ImportId"":""QID60_1""}","{""ImportId"":""QID20""}","{""ImportId"":""QID62""}","{""ImportId"":""QID104""}","{""ImportId"":""QID63""}","{""ImportId"":""QID105""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID31""}","{""ImportId"":""QID64""}","{""ImportId"":""QID65""}","{""ImportId"":""QID66""}","{""ImportId"":""QID67""}","{""ImportId"":""QID68""}","{""ImportId"":""QID69""}","{""ImportId"":""QID32""}","{""ImportId"":""QID35""}","{""ImportId"":""QID37""}","{""ImportId"":""QID71""}","{""ImportId"":""QID75""}","{""ImportId"":""QID76""}","{""ImportId"":""QID77""}","{""ImportId"":""QID78""}","{""ImportId"":""QID81""}","{""ImportId"":""QID85""}","{""ImportId"":""QID86""}","{""ImportId"":""QID87""}","{""ImportId"":""QID88""}","{""ImportId"":""QID90""}","{""ImportId"":""QID91""}","{""ImportId"":""QID92""}","{""ImportId"":""QID93""}","{""ImportId"":""QID94""}","{""ImportId"":""QID96""}","{""ImportId"":""QID97""}","{""ImportId"":""QID98""}","{""ImportId"":""QID98_8_TEXT""}","{""ImportId"":""QID99""}","{""ImportId"":""QID100""}","{""ImportId"":""QID100_4_TEXT""}","{""ImportId"":""QID101""}","{""ImportId"":""QID101_9_TEXT""}","{""ImportId"":""QID102_TEXT""}"
2024-05-20 22:28:45,2024-05-20 23:22:08,IP Address,100,3202,True,2024-05-20 23:22:09,R_6immB8ivIuzZmJa,anonymous,EN,0.10000000149011612,,,,,,2000,Yes,36832,White,,No,Female,"$70,001-80,000",Graduate or Professional School,Yes,No,Yes,<5 years,Yes,1-5 years,Research,,Academic/Research Institution,,Rarely,10,No,No,,Yes,Sometimes (25%-75%),,Yes,True,False,True,True,False,True,True,False,Bites,Incinerate,Disagree,Strongly Agree,Agree,Agree,Strongly Disagree,Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Yes,Academic Publications,,Yes,"One day, virtual conference,Year-long, once a month, virtual conference",,"Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD,SarsCoV2",,
2024-05-21 09:34:55,2024-05-21 09:53:13,IP Address,100,1097,True,2024-05-21 09:53:13,R_1azwtLJV7voVg8x,anonymous,EN,0.4000000059604645,,,,,,1954,Yes,36830,White,,No,Male,"$100,001+",Graduate or Professional School,Yes,Yes,No,,Yes,>20 years,Education,,Professional Societies or Associations,,Weekly,20,No,No,,Yes,Usually (>75%),Lee,No,True,False,False,True,False,True,False,True,Bites,Ignore,Neutral,Neutral,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Strongly Agree,Neutral,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Disagree,Agree,No,"Friends/Family,State Wildlife Agency,Academic Publications,Social Media,News Sources,Conferences",,Yes,"One day, in-person conference,One day, virtual conference,Year-long, once a month, virtual conference",,"Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD,SarsCoV2,One Health",,"Zoonotic issues will continue to increase in importance as human populations grow and the speed of human travel increases. "
2024-05-21 09:57:52,2024-05-21 10:09:15,IP Address,100,683,True,2024-05-21 10:09:16,R_1zqkwwd0mCv9GVn,anonymous,EN,0.4000000059604645,,,,,,1991,Yes,35476,White,,No,Female,"$60,001-70,000",Graduate or Professional School,Yes,Yes,Yes,5-10 years,Yes,1-5 years,Research,,Federal Government,,Weekly,40,Yes,Yes,Dead,Yes,Always (100%),"Baldwin,Greene,Hale,Jackson,Jefferson,Madison,Marshall,Tuscaloosa",Yes,True,False,False,True,False,True,I don't know,False,Bites,Bury,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Neutral,Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,Neutral,Disagree,Yes,"State Wildlife Agency,Academic Publications",,Yes,"One day, in-person conference,One day, virtual conference,Year-long, once a month, virtual conference",,"Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD,SarsCoV2",,
2024-05-21 15:09:27,2024-05-21 15:29:00,IP Address,100,1173,True,2024-05-21 15:29:01,R_7YJKKQuraOk9lWU,anonymous,EN,0.4000000059604645,,,,,,1990,Yes,36092,White,,No,Male,"$30,001-40,000",College Graduate/BA or BS (4-year degree),Yes,No,No,,Yes,1-5 years,Land/Wildlife Management,,State/Provincial Government,,Rarely,10,No,No,,Yes,Always (100%),"Colbert,Lauderdale",Yes,True,False,False,True,False,True,I don't know,False,Bites,Bury,Strongly Disagree,Strongly Agree,Strongly Agree,Neutral,Disagree,Neutral,Agree,Strongly Agree,Neutral,Neutral,Neutral,Agree,Disagree,Strongly Agree,Disagree,Agree,No,"State Wildlife Agency,Academic Publications,Conferences",,Yes,"One day, virtual conference,Year-long, once a month, virtual conference",,"Rabies,Influenza,Leptospirosis,Vector borne diseases,CWD",,
2024-05-21 15:47:11,2024-05-21 16:11:27,IP Address,100,1456,True,2024-05-21 16:11:27,R_69qfOVGxjxEuQJr,anonymous,EN,0.4000000059604645,,,,,,1992,Yes,36526,White,,No,Male,"$70,001-80,000",College Graduate/BA or BS (4-year degree),Yes,No,Yes,5-10 years,Yes,<1 year,Land/Wildlife Management,,State/Provincial Government,,Monthly,80,Yes,Yes,Dead,Yes,Always (100%),"Baldwin,Mobile,Monroe",No,True,False,False,I don't know,False,I don't know,False,False,Bites,Place in a dumpster,Strongly Disagree,Neutral,Agree,Disagree,Disagree,Agree,Agree,Strongly Agree,Strongly Disagree,Agree,Neutral,Neutral,Strongly Disagree,Agree,Neutral,Agree,Yes,Other,"manual of wildlife diseases ",Yes,"One day, in-person conference",,"Rabies,Influenza,Leptospirosis,Vector borne diseases,CWD",,
2024-05-22 06:30:44,2024-05-22 06:46:14,IP Address,100,930,True,2024-05-22 06:46:15,R_1mbJPBdRHPu1Vol,anonymous,EN,0.20000000298023224,,,,,,1997,Yes,36527,White,,No,Male,"$40,001-50,000",College Graduate/BA or BS (4-year degree),Yes,No,No,,Yes,1-5 years,Land/Wildlife Management,,State/Provincial Government,,Weekly,60,Yes,Yes,Dead,Yes,Always (100%),"Baldwin,Butler,Clarke,Conecuh,Escambia,Marengo,Mobile,Monroe,Washington,Wilcox",Yes,True,False,False,True,False,True,I don't know,True,Blood,Bury,Disagree,Agree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Neutral,Strongly Agree,Disagree,Neutral,Neutral,Neutral,Disagree,Agree,Agree,Agree,Yes,"State Wildlife Agency,Academic Publications,Conferences",,Yes,"One day, virtual conference",,"Rabies,Influenza,Leptospirosis,Raccoon roundworm,CWD",,
2024-05-22 07:29:03,2024-05-22 07:41:36,IP Address,100,753,True,2024-05-22 07:41:36,R_5Sc7FfWelmrB116,anonymous,EN,0.20000000298023224,,,,,,1989,Yes,36732,White,,No,Male,"$60,001-70,000",College Graduate/BA or BS (4-year degree),Yes,No,Yes,>10 years,Yes,10-20 years,Land/Wildlife Management,,State/Provincial Government,,Weekly,60,Yes,No,,Yes,Usually (>75%),"Dallas,Greene,Hale,Marengo,Wilcox",Yes,True,False,False,True,False,True,I don't know,True,Bites,Incinerate,Strongly Disagree,Agree,Agree,Disagree,Neutral,Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Neutral,Strongly Disagree,Agree,Neutral,Neutral,Yes,"State Wildlife Agency,Academic Publications,Conferences",,Yes,"One day, in-person conference,One day, virtual conference",,"Rabies,Influenza,Leptospirosis,Raccoon roundworm,Vector borne diseases,CWD,SarsCoV2,One Health",,
2024-05-28 06:44:33,2024-05-28 06:53:53,IP Address,100,559,True,2024-05-28 06:53:53,R_5wXky7C3ODFm9GN,anonymous,EN,0.4000000059604645,,,,,,1990,Yes,35136,White,,No,Male,"$70,001-80,000",Technical/Vocational School,No,No,No,,No,5-10 years,Land/Wildlife Management,,State/Provincial Government,,Monthly,90,Yes,Yes,Dead,Yes,Always (100%),"Clay,Coosa,Talladega",Yes,True,False,False,True,False,False,False,True,Bites,Incinerate,Disagree,Neutral,Strongly Agree,Strongly Disagree,Disagree,Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Neutral,Neutral,Agree,Strongly Agree,Agree,Yes,State Wildlife Agency,,Yes,"One day, virtual conference",,"Rabies,Influenza,CWD",,
