StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Q_RelevantIDLastStartDate,Q_BallotBoxStuffing,Q2,Q3,Q4,Q5,Q5_7_TEXT,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q93,Q13,Q14,Q15,Q15_6_TEXT,Q16,Q16_8_TEXT,Q18,Q17_1,Q19,Q20,Q94,Q21,Q95,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q32,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q41,Q42,Q43,Q44,Q46,Q47,Q48,Q49,Q50,Q51,Q52,Q53,Q54,Q54_8_TEXT,Q55,Q56,Q56_4_TEXT,Q57,Q57_9_TEXT,Q58
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Q_RecaptchaScore,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Q_RelevantIDLastStartDate,Q_BallotBoxStuffing,What year were you born?,Do you live and/or work in Alabama,"What is the zip code of your current residence?
(5 digit zip code)",Select the race that best describes you: - Selected Choice,Select the race that best describes you: - Other - Text,"Do you identify with Latino, Hispanic, or Spanish origin?",What is your gender?,What was your approximate household income in 2019?,What is the highest degree or level of education you have completed?,"Do you have a degree in wildlife biology, ecology, or management or related field?",Are you certified by The Wildlife Society (TWS) as a wildlife biologist?,Have you taken a formal course on wildlife health?,When did you take a formal course on wildlife health?,Do you consider yourself to be a wildlife biologist?,For how many years have you been employed as a wildlife biologist?,Which type of activities best describe the primary focus of your work in wildlife biology? - Selected Choice,Which type of activities best describe the primary focus of your work in wildlife biology? - Other - Text,What is your primary affiliation in the field of wildlife biology? - Selected Choice,What is your primary affiliation in the field of wildlife biology? - Other - Text,How frequently do you come into direct physical contact with wildlife in Alabama as part of your employment duties?,What percentage of the time do you spend in the field as part of your employment duties? - Percentage,Do you regularly collect samples in the field from wildlife in Alabama?,Do you regularly handle samples in the laboratory or field that have been collected from wildlife in Alabama?,"When collecting samples, the animal is typically:","If you handle or collect samples from wildlife in Alabama, do you utilize personal protective equipment (PPE)?",How often do you use PPE when handling or collecting samples?,In which counties do you regularly come into contact with wildlife in Alabama? Select all that apply.,Did you have a hunting/trapping license for the state of Alabama in the past three years (2020-2023)?,Wild pigs may serve as a source of infectious disease transmission to both humans and domestic animals in Alabama.,Brucellosis affects reproduction in domestic animals but is not a concern for wildlife.,Chronic Wasting Disease (CWD) is primarily transmitted among cervids (deer/elk) through ticks.,Avian influenza has been found in wild and domestic birds in Alabama.,Avian influenza does not kill wildlife.,SARS CoV2 (COVID) can infect deer.,SARS CoV2 (COVID) from wildlife can infect humans.,Rabies has been found in ALL states that border Alabama.,How is rabies transmitted?,How should you dispose of a fresh wild turkey carcass that was found in Alabama?,CWD was present in Alabama before the 21st century,Bats are significant carriers of many infectious diseases in Alabama,Personal Protective Equipment (PPE) is necessary when conducting fieldwork that does not directly involve zoonotic diseases,Epizootic Hemorrhagic Disease (EHD) is a major threat to human health,The only way to deal with zoonotic diseases in wildlife (such as rabies) is to let nature take its course,Reducing the population of certain wild species in affected areas will eliminate infectious diseases in Alabama,Current plans to manage wildlife populations in Alabama will be effective in controlling infectious diseases,Surveillance is essential to successful infectious disease management,"The vaccination of wildlife, such as for rabies, should be considered for other diseases",About the current prevalence of wildlife diseases in Alabama,That infectious diseases will affect Alabama’s biodiversity,That wildlife diseases in my region will affect my health or my family’s health today.,That climate change will impact wildlife health in Alabama.,A course on wildlife health should be required for a major in wildlife biology,Information on wildlife health can be acquired through continuing education rather than in undergraduate courses,All critical elements (including aspects of wildlife health) can be acquired through on-the-job training and experience,Is the information you need regarding wildlife health in Alabama easily accessible to you?,What is your preferred source to obtain information regarding wildlife health in Alabama? Please select all that apply. - Selected Choice,What is your preferred source to obtain information regarding wildlife health in Alabama? Please select all that apply. - Other - Text,Would you be interested in learning more about wildlife health in Alabama?,"If there was a free course on wildlife health in Alabama, how would you like to participate? Please select all that apply. - Selected Choice","If there was a free course on wildlife health in Alabama, how would you like to participate? Please select all that apply. - Other - Text",What topics would you like to obtain more information regarding wildlife health in Alabama? Please select all that apply. - Selected Choice,What topics would you like to obtain more information regarding wildlife health in Alabama? Please select all that apply. - Other - Text,"Please write any additional comments, questions, or concerns below"
"{""ImportId"":""startDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""endDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""Q_RelevantIDDuplicate""}","{""ImportId"":""Q_RelevantIDDuplicateScore""}","{""ImportId"":""Q_RelevantIDFraudScore""}","{""ImportId"":""Q_RelevantIDLastStartDate"",""timeZone"":""UTC""}","{""ImportId"":""Q_BallotBoxStuffing""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID2""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID3_7_TEXT""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID12""}","{""ImportId"":""QID51""}","{""ImportId"":""QID52""}","{""ImportId"":""QID53""}","{""ImportId"":""QID54""}","{""ImportId"":""QID103""}","{""ImportId"":""QID56""}","{""ImportId"":""QID57""}","{""ImportId"":""QID58""}","{""ImportId"":""QID58_6_TEXT""}","{""ImportId"":""QID59""}","{""ImportId"":""QID59_8_TEXT""}","{""ImportId"":""QID61""}","{""ImportId"":""QID60_1""}","{""ImportId"":""QID20""}","{""ImportId"":""QID62""}","{""ImportId"":""QID104""}","{""ImportId"":""QID63""}","{""ImportId"":""QID105""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID31""}","{""ImportId"":""QID64""}","{""ImportId"":""QID65""}","{""ImportId"":""QID66""}","{""ImportId"":""QID67""}","{""ImportId"":""QID68""}","{""ImportId"":""QID69""}","{""ImportId"":""QID32""}","{""ImportId"":""QID35""}","{""ImportId"":""QID37""}","{""ImportId"":""QID71""}","{""ImportId"":""QID75""}","{""ImportId"":""QID76""}","{""ImportId"":""QID77""}","{""ImportId"":""QID78""}","{""ImportId"":""QID81""}","{""ImportId"":""QID85""}","{""ImportId"":""QID86""}","{""ImportId"":""QID87""}","{""ImportId"":""QID88""}","{""ImportId"":""QID90""}","{""ImportId"":""QID91""}","{""ImportId"":""QID92""}","{""ImportId"":""QID93""}","{""ImportId"":""QID94""}","{""ImportId"":""QID96""}","{""ImportId"":""QID97""}","{""ImportId"":""QID98""}","{""ImportId"":""QID98_8_TEXT""}","{""ImportId"":""QID99""}","{""ImportId"":""QID100""}","{""ImportId"":""QID100_4_TEXT""}","{""ImportId"":""QID101""}","{""ImportId"":""QID101_9_TEXT""}","{""ImportId"":""QID102_TEXT""}"
2024-05-15 10:36:16,2024-05-15 10:37:10,IP Address,23,53,False,2024-08-15 10:37:17,R_7B2wdeXphMLN98k,anonymous,EN,1,,,,,,1976,Yes,36804,White,,No,Male,"$70,001-80,000",Graduate or Professional School,No,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-15 12:39:55,2024-05-15 12:41:01,IP Address,23,65,False,2024-08-15 12:41:01,R_2VZt59u9crvEYIp,anonymous,EN,0.8999999761581421,,,,,,1985,Yes,35951,White,,No,Male,"$60,001-70,000",High school graduate/GED,No,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-15 12:40:54,2024-05-15 12:41:55,IP Address,23,61,False,2024-08-15 12:41:56,R_1pKgHP0yigEv5kX,anonymous,EN,0.8999999761581421,,,,,,1972,Yes,36571,White,,No,Male,"$100,001+",Some College/AA or AS (2-year degree),No,No,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-15 12:41:58,2024-05-15 12:45:12,IP Address,43,194,False,2024-08-15 12:45:18,R_2skHS5KUXauPbeF,anonymous,EN,0.8999999761581421,,,,,,1973,Yes,35173,White,,No,Male,"$100,001+",College Graduate/BA or BS (4-year degree),No,No,Yes,>10 years,No,<1 year,Education,,Private Industry,,Rarely,10,No,No,,,,"Chambers,Tallapoosa,Wilcox",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-15 14:10:53,2024-05-15 14:12:11,IP Address,23,77,False,2024-08-15 14:12:21,R_1xJIGziI6qDBc9M,anonymous,EN,0.800000011920929,,,,,,1971,Yes,35581,White,,No,Male,"$100,001+",Some College/AA or AS (2-year degree),No,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-15 16:31:35,2024-05-15 16:37:23,IP Address,23,347,False,2024-08-15 16:37:25,R_52flqAt24I80rwZ,anonymous,EN,1,,,,,,1958,Yes,36879,White,,No,Male,"$100,001+",College Graduate/BA or BS (4-year degree),No,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-15 16:52:43,2024-05-15 17:29:29,IP Address,23,2205,False,2024-08-15 17:29:30,R_6D8yIZwRj4K9sUF,anonymous,EN,,,,,,,1974,Yes,36567,White,,No,Female,"$100,001+",College Graduate/BA or BS (4-year degree),No,No,Yes,<5 years,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-15 20:35:38,2024-05-15 20:39:03,IP Address,35,205,False,2024-08-15 20:39:08,R_2LjsJoEAKt4LTgt,anonymous,EN,1,,,,,,1962,Yes,35763,White,,No,Male,"$60,001-70,000",High school graduate/GED,No,No,No,,Yes,>20 years,Land/Wildlife Management,,Private Industry,,Daily,10,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
